"",BBK01.OEAF06Q,BBK01.OEAF06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:23,
2002-01,3.338,
2002-04,3.307,
2002-07,3.293,
2002-10,3.290,
2003-01,3.399,
2003-04,3.281,
2003-07,3.002,
2003-10,3.101,
2004-01,3.032,
2004-04,3.041,
2004-07,2.951,
2004-10,3.006,
2005-01,2.957,
2005-04,2.967,
2005-07,2.944,
2005-10,2.987,
2006-01,2.982,
2006-04,3.017,
2006-07,3.055,
2006-10,3.198,
2007-01,3.260,
2007-04,3.214,
2007-07,3.200,
2007-10,3.216,
2008-01,3.160,
2008-04,3.182,
2008-07,3.213,
2008-10,3.237,
2009-01,3.287,
2009-04,3.288,
2009-07,3.340,
2009-10,3.357,
2010-01,3.352,
2010-04,3.651,
2010-07,3.589,
2010-10,3.572,
2011-01,3.562,
2011-04,3.564,
2011-07,3.618,
2011-10,3.537,
2012-01,3.492,
2012-04,3.499,
2012-07,3.481,
2012-10,3.292,
2013-01,3.270,
2013-04,3.277,
2013-07,3.296,
2013-10,3.264,
2014-01,3.263,
2014-04,3.299,
2014-07,3.244,
