"",BBK01.OELB10M,BBK01.OELB10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:09,
2002-01,1.614,
2002-04,1.583,
2002-07,1.534,
2002-10,1.443,
2003-01,1.457,
2003-04,1.456,
2003-07,1.436,
2003-10,1.321,
2004-01,1.332,
2004-04,1.304,
2004-07,1.259,
2004-10,1.198,
2005-01,1.250,
2005-04,1.202,
2005-07,1.190,
2005-10,1.105,
2006-01,1.206,
2006-04,1.184,
2006-07,1.233,
2006-10,1.175,
2007-01,1.244,
2007-04,1.242,
2007-07,1.285,
2007-10,1.356,
2008-01,1.373,
2008-04,1.406,
2008-07,1.477,
2008-10,1.496,
2009-01,1.564,
2009-04,1.515,
2009-07,1.459,
2009-10,1.349,
2010-01,1.441,
2010-04,1.461,
2010-07,1.486,
2010-10,1.353,
2011-01,1.441,
2011-04,1.502,
2011-07,1.494,
2011-10,1.317,
2012-01,1.421,
2012-04,1.462,
2012-07,1.473,
2012-10,1.419,
2013-01,1.467,
2013-04,1.454,
2013-07,1.448,
2013-10,1.400,
2014-01,1.437,
2014-04,1.503,
2014-07,1.479,
