"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U9.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U9.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / All areas other than EU and ref./home area / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:50,
2009-09,11061,
2009-10,11159,
2009-11,11498,
2009-12,11959,
2010-01,12904,
2010-02,12832,
2010-03,13630,
2010-04,14627,
2010-05,15985,
2010-06,16412,
2010-07,16022,
2010-08,17376,
2010-09,17436,
2010-10,18455,
2010-11,19197,
2010-12,18738,
2011-01,18067,
2011-02,18509,
2011-03,18795,
2011-04,19343,
2011-05,20408,
2011-06,20618,
2011-07,21478,
2011-08,21882,
2011-09,23750,
2011-10,23916,
2011-11,23571,
2011-12,24870,
2012-01,25708,
2012-02,25928,
2012-03,25766,
2012-04,26963,
2012-05,27954,
2012-06,28433,
2012-07,30497,
2012-08,30128,
2012-09,30373,
2012-10,30780,
2012-11,31100,
2012-12,30941,
2013-01,30711,
2013-02,31998,
2013-03,32815,
2013-04,33771,
2013-05,33153,
2013-06,32751,
2013-07,33336,
2013-08,32725,
2013-09,33508,
2013-10,33952,
2013-11,37286,
2013-12,36520,
2014-01,37856,
2014-02,34808,
2014-03,36328,
2014-04,37269,
2014-05,39206,
2014-06,39282,
2014-07,40461,
2014-08,42369,
2014-09,45159,
2014-10,46060,
2014-11,47004,
