"",BBK01.OEAN05V,BBK01.OEAN05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:23,
2002-01,4.611,
2002-04,4.371,
2002-07,4.334,
2002-10,4.331,
2003-01,4.407,
2003-04,5.009,
2003-07,4.918,
2003-10,4.910,
2004-01,4.328,
2004-04,4.192,
2004-07,4.080,
2004-10,4.026,
2005-01,3.808,
2005-04,3.698,
2005-07,3.882,
2005-10,3.696,
2006-01,3.543,
2006-04,3.433,
2006-07,3.276,
2006-10,3.225,
2007-01,3.149,
2007-04,2.957,
2007-07,2.831,
2007-10,2.853,
2008-01,2.778,
2008-04,2.672,
2008-07,2.570,
2008-10,2.527,
2009-01,2.597,
2009-04,2.759,
2009-07,2.761,
2009-10,2.879,
2010-01,3.109,
2010-04,3.256,
2010-07,3.240,
2010-10,3.060,
2011-01,3.011,
2011-04,3.162,
2011-07,3.136,
2011-10,3.090,
2012-01,3.124,
2012-04,3.123,
2012-07,3.256,
2012-10,3.306,
2013-01,3.443,
2013-04,3.461,
2013-07,3.543,
2013-10,3.647,
2014-01,3.807,
2014-04,3.791,
2014-07,3.873,
