"",BBK01.OEAN04P,BBK01.OEAN04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:08,
2002-01,5.502,
2002-04,5.402,
2002-07,5.260,
2002-10,5.437,
2003-01,5.649,
2003-04,5.572,
2003-07,5.683,
2003-10,5.929,
2004-01,6.025,
2004-04,6.104,
2004-07,6.139,
2004-10,6.240,
2005-01,6.533,
2005-04,6.579,
2005-07,6.707,
2005-10,6.819,
2006-01,6.748,
2006-04,6.715,
2006-07,6.623,
2006-10,6.723,
2007-01,6.617,
2007-04,6.506,
2007-07,6.370,
2007-10,6.324,
2008-01,6.158,
2008-04,6.091,
2008-07,5.898,
2008-10,5.893,
2009-01,5.871,
2009-04,5.887,
2009-07,5.940,
2009-10,6.114,
2010-01,6.323,
2010-04,6.501,
2010-07,6.549,
2010-10,6.727,
2011-01,6.810,
2011-04,6.870,
2011-07,6.868,
2011-10,6.994,
2012-01,7.027,
2012-04,7.054,
2012-07,7.042,
2012-10,7.208,
2013-01,7.087,
2013-04,7.016,
2013-07,6.944,
2013-10,6.936,
2014-01,6.879,
2014-04,6.768,
2014-07,6.668,
