"",BBK01.OELL07R,BBK01.OELL07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:23,
2002-01,1.402,
2002-04,1.385,
2002-07,1.428,
2002-10,1.500,
2003-01,1.518,
2003-04,1.492,
2003-07,1.514,
2003-10,1.542,
2004-01,1.553,
2004-04,1.539,
2004-07,1.548,
2004-10,1.563,
2005-01,1.576,
2005-04,1.563,
2005-07,1.569,
2005-10,1.594,
2006-01,1.611,
2006-04,1.620,
2006-07,1.627,
2006-10,1.632,
2007-01,1.604,
2007-04,1.589,
2007-07,1.603,
2007-10,1.620,
2008-01,1.635,
2008-04,1.598,
2008-07,1.566,
2008-10,1.601,
2009-01,1.588,
2009-04,1.548,
2009-07,1.501,
2009-10,1.538,
2010-01,1.514,
2010-04,1.479,
2010-07,1.461,
2010-10,1.466,
2011-01,1.459,
2011-04,1.450,
2011-07,1.448,
2011-10,1.465,
2012-01,1.461,
2012-04,1.457,
2012-07,1.457,
2012-10,1.475,
2013-01,1.474,
2013-04,1.477,
2013-07,1.481,
2013-10,1.496,
2014-01,1.497,
2014-04,1.487,
2014-07,1.481,
