"",BBK01.OEAH93L,BBK01.OEAH93L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:35,
2002-01,0.028,
2002-04,0.027,
2002-07,0.026,
2002-10,0.025,
2003-01,0.026,
2003-04,0.024,
2003-07,0.021,
2003-10,0.021,
2004-01,0.018,
2004-04,0.017,
2004-07,0.017,
2004-10,0.016,
2005-01,0.017,
2005-04,0.016,
2005-07,0.017,
2005-10,0.019,
2006-01,0.022,
2006-04,0.027,
2006-07,0.035,
2006-10,0.044,
2007-01,0.053,
2007-04,0.068,
2007-07,0.084,
2007-10,0.102,
2008-01,0.110,
2008-04,0.130,
2008-07,0.142,
2008-10,0.151,
2009-01,0.141,
2009-04,0.120,
2009-07,0.101,
2009-10,0.073,
2010-01,0.066,
2010-04,0.062,
2010-07,0.060,
2010-10,0.070,
2011-01,0.074,
2011-04,0.064,
2011-07,0.054,
2011-10,0.058,
2012-01,0.064,
2012-04,0.055,
2012-07,0.056,
2012-10,0.051,
2013-01,0.046,
2013-04,0.039,
2013-07,0.038,
2013-10,0.041,
2014-01,0.039,
2014-04,0.039,
2014-07,0.035,
