"",BBK01.OEAC32G,BBK01.OEAC32G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:58,
2002-01,4.447,
2002-04,3.922,
2002-07,3.979,
2002-10,3.912,
2003-01,3.475,
2003-04,3.349,
2003-07,3.423,
2003-10,3.459,
2004-01,3.454,
2004-04,3.486,
2004-07,3.382,
2004-10,3.349,
2005-01,3.313,
2005-04,3.335,
2005-07,3.306,
2005-10,3.322,
2006-01,3.409,
2006-04,3.346,
2006-07,3.177,
2006-10,3.070,
2007-01,3.129,
2007-04,3.096,
2007-07,3.380,
2007-10,3.601,
2008-01,3.634,
2008-04,3.761,
2008-07,4.080,
2008-10,4.037,
2009-01,5.105,
2009-04,5.356,
2009-07,6.404,
2009-10,6.652,
2010-01,5.678,
2010-04,5.746,
2010-07,4.466,
2010-10,4.642,
2011-01,4.699,
2011-04,4.697,
2011-07,4.458,
2011-10,4.609,
2012-01,4.663,
2012-04,4.525,
2012-07,4.484,
2012-10,4.517,
2013-01,4.582,
2013-04,4.451,
2013-07,4.541,
2013-10,4.496,
2014-01,4.324,
2014-04,4.079,
2014-07,4.098,
