"",BBFB1.Q.N.DE.A1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:24,
1991-01,-2884.280,
1991-04,-654.774,
1991-07,794.500,
1991-10,1729.732,
1992-01,250.832,
1992-04,975.088,
1992-07,2073.219,
1992-10,2616.002,
1993-01,1718.030,
1993-04,2250.247,
1993-07,2358.400,
1993-10,3039.971,
1994-01,1617.269,
1994-04,2043.320,
1994-07,1554.283,
1994-10,2124.400,
1995-01,1437.563,
1995-04,2761.678,
1995-07,1139.533,
1995-10,1689.987,
1996-01,2588.478,
1996-04,2783.345,
1996-07,3459.943,
1996-10,4516.715,
1997-01,3635.434,
1997-04,3194.941,
1997-07,5302.940,
1997-10,5546.425,
1998-01,5252.785,
1998-04,5257.580,
1998-07,5020.729,
1998-10,5196.819,
1999-01,2755.241,
1999-04,5715.969,
1999-07,4915.657,
1999-10,4884.561,
2000-01,5609.042,
2000-04,5240.073,
2000-07,6171.457,
2000-10,3999.319,
2001-01,4219.792,
2001-04,3811.103,
2001-07,5600.634,
2001-10,5589.351,
2002-01,7234.831,
2002-04,6512.573,
2002-07,10277.835,
2002-10,7517.481,
2003-01,4948.269,
2003-04,6572.267,
2003-07,6689.244,
2003-10,6155.885,
2004-01,11900.029,
2004-04,11001.912,
2004-07,12454.354,
2004-10,12452.312,
2005-01,12941.134,
2005-04,11228.958,
2005-07,13748.728,
2005-10,12120.977,
2006-01,13044.908,
2006-04,10453.338,
2006-07,12491.967,
2006-10,13507.810,
2007-01,9616.711,
2007-04,7599.984,
2007-07,11284.675,
2007-10,11121.115,
2008-01,5524.129,
2008-04,9856.026,
2008-07,12673.864,
2008-10,8144.565,
2009-01,5462.574,
2009-04,3815.117,
2009-07,6359.131,
2009-10,6879.783,
2010-01,8917.969,
2010-04,7983.120,
2010-07,10222.659,
2010-10,10042.055,
2011-01,9179.180,
2011-04,6141.992,
2011-07,10969.514,
2011-10,12845.419,
2012-01,13396.512,
2012-04,11040.587,
2012-07,17773.950,
2012-10,15605.879,
2013-01,14088.138,
2013-04,12576.009,
2013-07,16021.644,
2013-10,16801.636,
2014-01,16421.434,Provisional value
2014-04,13399.317,Provisional value
2014-07,18605.907,Provisional value
