"",BBK01.OELO02G,BBK01.OELO02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:40,
2002-01,5.985,
2002-04,5.042,
2002-07,4.706,
2002-10,4.763,
2003-01,5.508,
2003-04,4.147,
2003-07,4.006,
2003-10,4.947,
2004-01,5.671,
2004-04,4.058,
2004-07,4.036,
2004-10,4.845,
2005-01,4.508,
2005-04,3.939,
2005-07,3.928,
2005-10,4.110,
2006-01,4.688,
2006-04,4.086,
2006-07,3.872,
2006-10,4.403,
2007-01,4.646,
2007-04,3.787,
2007-07,3.681,
2007-10,4.090,
2008-01,4.301,
2008-04,3.665,
2008-07,3.604,
2008-10,5.086,
2009-01,5.285,
2009-04,5.146,
2009-07,5.820,
2009-10,6.859,
2010-01,5.933,
2010-04,4.066,
2010-07,3.874,
2010-10,4.090,
2011-01,4.884,
2011-04,3.887,
2011-07,3.759,
2011-10,3.867,
2012-01,3.799,
2012-04,3.756,
2012-07,4.015,
2012-10,4.117,
2013-01,4.448,
2013-04,3.779,
2013-07,3.621,
2013-10,4.029,
2014-01,4.344,
2014-04,3.761,
2014-07,4.175,
