"",BBFN1.M.DE.N.1.A.CL.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CL.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Chile,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:58,
1994-07,0.126,
1994-08,0.138,
1994-09,0.147,
1994-10,0.154,
1994-11,0.175,
1994-12,0.175,
1995-01,0.160,
1995-02,0.160,
1995-03,0.164,
1995-04,0.174,
1995-05,0.173,
1995-06,0.183,
1995-07,0.179,
1995-08,0.188,
1995-09,0.201,
1995-10,0.187,
1995-11,0.189,
1995-12,0.185,
1996-01,0.187,
1996-02,0.175,
1996-03,0.180,
1996-04,0.187,
1996-05,0.191,
1996-06,0.185,
1996-07,0.185,
1996-08,0.179,
1996-09,0.175,
1996-10,0.180,
1996-11,0.175,
1996-12,0.181,
1997-01,0.183,
1997-02,0.184,
1997-03,0.199,
1997-04,0.210,
1997-05,0.217,
1997-06,0.212,
1997-07,0.227,
1997-08,0.227,
1997-09,0.238,
1997-10,0.240,
1997-11,0.253,
1997-12,0.258,
1998-01,0.231,
1998-02,0.222,
1998-03,0.236,
1998-04,0.239,
1998-05,0.233,
1998-06,0.235,
1998-07,0.235,
1998-08,0.242,
1998-09,0.247,
1998-10,0.256,
1998-11,0.242,
1998-12,0.244,
1999-01,0.230,
1999-02,0.235,
1999-03,0.263,
1999-04,0.276,
1999-05,0.236,
1999-06,0.279,
1999-07,0.282,
1999-08,0.266,
1999-09,0.246,
1999-10,0.246,
1999-11,0.286,
1999-12,0.265,
2000-01,0.273,
2000-02,0.268,
2000-03,0.262,
2000-04,0.268,
2000-05,0.262,
2000-06,0.285,
2000-07,0.304,
2000-08,0.299,
2000-09,0.304,
2000-10,0.308,
2000-11,0.306,
2000-12,0.307,
2001-01,0.298,
2001-02,0.317,
2001-03,0.328,
2001-04,0.320,
2001-05,0.321,
2001-06,0.324,
2001-07,0.326,
2001-08,0.328,
2001-09,0.337,
2001-10,0.334,
2001-11,0.335,
2001-12,0.327,
2002-01,0.310,
2002-02,0.326,
2002-03,0.310,
2002-04,0.340,
2002-05,0.310,
2002-06,0.319,
2002-07,0.315,
2002-08,0.319,
2002-09,0.322,
2002-10,0.314,
2002-11,0.285,
2002-12,0.281,
2003-01,0.265,
2003-02,0.280,
2003-03,0.261,
2003-04,0.331,
2003-05,0.254,
2003-06,0.263,
2003-07,0.258,
2003-08,0.249,
2003-09,0.253,
2003-10,0.242,
2003-11,0.246,
2003-12,0.243,
2004-01,0.230,
2004-02,0.226,
2004-03,0.226,
2004-04,0.235,
2004-05,0.236,
2004-06,0.224,
2004-07,0.300,
2004-08,0.241,
2004-09,0.243,
2004-10,0.244,
2004-11,0.240,
2004-12,0.236,
2005-01,0.238,
2005-02,0.252,
2005-03,0.248,
2005-04,0.251,
2005-05,0.240,
2005-06,0.247,
2005-07,0.242,
2005-08,0.258,
2005-09,0.244,
2005-10,0.251,
2005-11,0.272,
2005-12,0.269,
2006-01,0.261,
2006-02,0.269,
2006-03,0.281,
2006-04,0.285,
2006-05,0.273,
2006-06,0.282,
2006-07,0.271,
2006-08,0.265,
2006-09,0.272,
2006-10,0.261,
2006-11,0.271,
2006-12,0.264,
2007-01,0.279,
2007-02,0.295,
2007-03,0.296,
2007-04,0.286,
2007-05,0.278,
2007-06,0.269,
2007-07,0.287,
2007-08,0.285,
2007-09,0.286,
2007-10,0.282,
2007-11,0.301,
2007-12,0.294,
2008-01,0.287,
2008-02,0.319,
2008-03,0.300,
2008-04,0.320,
2008-05,0.323,
2008-06,0.334,
2008-07,0.338,
2008-08,0.326,
2008-09,0.349,
2008-10,0.358,
2008-11,0.367,
2008-12,0.361,
2009-01,0.323,
2009-02,0.311,
2009-03,0.293,
2009-04,0.274,
2009-05,0.274,
2009-06,0.240,
2009-07,0.246,
2009-08,0.257,
2009-09,0.268,
2009-10,0.260,
2009-11,0.269,
2009-12,0.269,
2010-01,0.254,
2010-02,0.286,
2010-03,0.291,
2010-04,0.316,
2010-05,0.332,
2010-06,0.355,
2010-07,0.376,
2010-08,0.330,
2010-09,0.357,
2010-10,0.351,
2010-11,0.374,
2010-12,0.334,
2011-01,0.335,
2011-02,0.353,
2011-03,0.398,
2011-04,0.383,
2011-05,0.368,
2011-06,0.375,
2011-07,0.388,
2011-08,0.384,
2011-09,0.408,
2011-10,0.399,
2011-11,0.389,
2011-12,0.405,
2012-01,0.376,
2012-02,0.393,
2012-03,0.418,
2012-04,0.419,
2012-05,0.444,
2012-06,0.472,
2012-07,0.499,
2012-08,0.544,
2012-09,0.544,
2012-10,0.530,
2012-11,0.512,
2012-12,0.509,
2013-01,0.480,
2013-02,0.462,
2013-03,0.486,
2013-04,0.505,
2013-05,0.488,
2013-06,0.522,
2013-07,0.518,
2013-08,0.545,
2013-09,0.506,
2013-10,0.486,
2013-11,0.519,
2013-12,0.466,
2014-01,0.474,
2014-02,0.522,
2014-03,0.531,
2014-04,0.493,
2014-05,0.448,
2014-06,0.456,
2014-07,0.465,
2014-08,0.505,
2014-09,0.519,
2014-10,0.542,
2014-11,0.515,
2014-12,0.558,
