"",BBK01.OEXB17S,BBK01.OEXB17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:06,
2002-01,1.081,
2002-04,1.096,
2002-07,1.121,
2002-10,1.142,
2003-01,1.160,
2003-04,1.177,
2003-07,1.215,
2003-10,1.242,
2004-01,1.235,
2004-04,1.238,
2004-07,1.260,
2004-10,1.291,
2005-01,1.307,
2005-04,1.356,
2005-07,1.353,
2005-10,1.294,
2006-01,1.292,
2006-04,1.322,
2006-07,1.348,
2006-10,1.363,
2007-01,1.371,
2007-04,1.403,
2007-07,1.385,
2007-10,1.405,
2008-01,1.350,
2008-04,1.313,
2008-07,1.323,
2008-10,1.337,
2009-01,1.329,
2009-04,1.339,
2009-07,1.408,
2009-10,1.414,
2010-01,1.420,
2010-04,1.432,
2010-07,1.434,
2010-10,1.427,
2011-01,1.429,
2011-04,1.427,
2011-07,1.433,
2011-10,1.456,
2012-01,1.451,
2012-04,1.455,
2012-07,1.466,
2012-10,1.473,
2013-01,1.484,
2013-04,1.502,
2013-07,1.528,
2013-10,1.538,
2014-01,1.542,
2014-04,1.572,
2014-07,1.576,
