"",BBK01.OECI03V,BBK01.OECI03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:38,
2002-01,1.610,
2002-04,1.593,
2002-07,1.664,
2002-10,1.688,
2003-01,1.593,
2003-04,1.574,
2003-07,1.505,
2003-10,1.593,
2004-01,1.434,
2004-04,1.348,
2004-07,1.416,
2004-10,1.390,
2005-01,1.497,
2005-04,1.472,
2005-07,1.390,
2005-10,1.464,
2006-01,1.442,
2006-04,1.408,
2006-07,1.501,
2006-10,1.730,
2007-01,1.842,
2007-04,1.799,
2007-07,1.937,
2007-10,2.224,
2008-01,2.358,
2008-04,2.590,
2008-07,3.101,
2008-10,3.062,
2009-01,2.640,
2009-04,2.541,
2009-07,2.209,
2009-10,1.993,
2010-01,1.921,
2010-04,1.789,
2010-07,1.636,
2010-10,1.552,
2011-01,1.716,
2011-04,1.652,
2011-07,1.645,
2011-10,1.984,
2012-01,2.231,
2012-04,2.990,
2012-07,2.587,
2012-10,2.162,
2013-01,2.101,
2013-04,2.360,
2013-07,2.342,
2013-10,2.312,
2014-01,2.210,
2014-04,2.278,
2014-07,2.138,
