"",BBK01.OECB10U,BBK01.OECB10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:14,
2002-01,0.336,
2002-04,0.343,
2002-07,0.321,
2002-10,0.306,
2003-01,0.256,
2003-04,0.260,
2003-07,0.260,
2003-10,0.276,
2004-01,0.273,
2004-04,0.245,
2004-07,0.233,
2004-10,0.205,
2005-01,0.231,
2005-04,0.245,
2005-07,0.268,
2005-10,0.245,
2006-01,0.255,
2006-04,0.248,
2006-07,0.266,
2006-10,0.290,
2007-01,0.291,
2007-04,0.267,
2007-07,0.286,
2007-10,0.290,
2008-01,0.362,
2008-04,0.350,
2008-07,0.344,
2008-10,0.340,
2009-01,0.356,
2009-04,0.337,
2009-07,0.328,
2009-10,0.273,
2010-01,0.287,
2010-04,0.271,
2010-07,0.275,
2010-10,0.241,
2011-01,0.297,
2011-04,0.318,
2011-07,0.313,
2011-10,0.313,
2012-01,0.363,
2012-04,0.320,
2012-07,0.314,
2012-10,0.288,
2013-01,0.327,
2013-04,0.309,
2013-07,0.312,
2013-10,0.294,
2014-01,0.329,
2014-04,0.357,
2014-07,0.324,
