"",BBK01.OEAI09J,BBK01.OEAI09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:58,
2002-01,0.937,
2002-04,0.906,
2002-07,0.903,
2002-10,0.887,
2003-01,0.817,
2003-04,0.763,
2003-07,0.698,
2003-10,0.645,
2004-01,0.594,
2004-04,0.558,
2004-07,0.592,
2004-10,0.526,
2005-01,0.505,
2005-04,0.493,
2005-07,0.481,
2005-10,0.504,
2006-01,0.502,
2006-04,0.548,
2006-07,0.604,
2006-10,0.707,
2007-01,0.857,
2007-04,1.012,
2007-07,1.113,
2007-10,1.210,
2008-01,1.226,
2008-04,1.204,
2008-07,1.203,
2008-10,1.329,
2009-01,1.245,
2009-04,1.198,
2009-07,1.187,
2009-10,0.984,
2010-01,0.859,
2010-04,0.838,
2010-07,0.768,
2010-10,0.754,
2011-01,0.777,
2011-04,0.782,
2011-07,0.770,
2011-10,0.748,
2012-01,0.710,
2012-04,0.673,
2012-07,0.599,
2012-10,0.498,
2013-01,0.395,
2013-04,0.349,
2013-07,0.335,
2013-10,0.332,
2014-01,0.342,
2014-04,0.372,
2014-07,0.406,
