"",BBK01.OELO02O,BBK01.OELO02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:38,
2002-01,1.843,
2002-04,1.328,
2002-07,1.575,
2002-10,1.367,
2003-01,1.504,
2003-04,1.132,
2003-07,1.115,
2003-10,1.204,
2004-01,1.455,
2004-04,0.992,
2004-07,0.978,
2004-10,1.182,
2005-01,1.238,
2005-04,1.005,
2005-07,0.954,
2005-10,1.155,
2006-01,1.455,
2006-04,1.161,
2006-07,1.183,
2006-10,1.226,
2007-01,1.412,
2007-04,1.090,
2007-07,1.187,
2007-10,1.150,
2008-01,1.252,
2008-04,0.890,
2008-07,0.890,
2008-10,1.043,
2009-01,1.359,
2009-04,1.180,
2009-07,1.396,
2009-10,1.450,
2010-01,1.557,
2010-04,1.013,
2010-07,0.893,
2010-10,0.854,
2011-01,0.954,
2011-04,0.843,
2011-07,0.858,
2011-10,0.972,
2012-01,0.920,
2012-04,0.800,
2012-07,0.877,
2012-10,0.994,
2013-01,1.146,
2013-04,0.833,
2013-07,0.826,
2013-10,0.918,
2014-01,1.033,
2014-04,0.858,
2014-07,0.781,
