"",BBK01.OUM076,BBK01.OUM076_FLAGS
"",Securities portfolios / Bonds and debt securities / Total / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:48:29,
1965-01,0.754,
1965-02,0.761,
1965-03,0.751,
1965-04,0.763,
1965-05,0.745,
1965-06,0.772,
1965-07,0.764,
1965-08,0.720,
1965-09,0.735,
1965-10,0.741,
1965-11,0.740,
1965-12,0.726,
1966-01,0.691,
1966-02,0.659,
1966-03,0.639,
1966-04,0.638,
1966-05,0.629,
1966-06,0.628,
1966-07,0.612,
1966-08,0.591,
1966-09,0.610,
1966-10,0.610,
1966-11,0.606,
1966-12,0.608,
1967-01,0.621,
1967-02,0.616,
1967-03,0.606,
1967-04,0.615,
1967-05,0.617,
1967-06,0.616,
1967-07,0.641,
1967-08,0.652,
1967-09,0.669,
1967-10,0.662,
1967-11,0.685,
1967-12,0.662,
1968-01,0.769,
1968-02,0.798,
1968-03,0.815,
1968-04,0.805,
1968-05,0.816,
1968-06,0.824,
1968-07,0.836,
1968-08,0.867,
1968-09,0.873,
1968-10,0.875,
1968-11,0.864,
1968-12,0.776,
1969-01,0.843,
1969-02,0.864,
1969-03,0.861,
1969-04,0.848,
1969-05,0.843,
1969-06,0.846,
1969-07,0.845,
1969-08,0.849,
1969-09,0.842,
1969-10,0.839,
1969-11,0.841,
1969-12,0.838,
1970-01,0.789,
1970-02,0.795,
1970-03,0.809,
1970-04,0.793,
1970-05,0.784,
1970-06,0.776,
1970-07,0.799,
1970-08,0.871,
1970-09,0.859,
1970-10,0.909,
1970-11,0.923,
1970-12,0.785,
1971-01,0.769,
1971-02,0.832,
1971-03,0.838,
1971-04,0.875,
1971-05,0.850,
1971-06,0.862,
1971-07,1.030,
1971-08,1.092,
1971-09,1.070,
1971-10,1.031,
1971-11,0.979,
1971-12,0.866,
1972-01,0.950,
1972-02,1.054,
1972-03,1.028,
1972-04,1.013,
1972-05,1.010,
1972-06,0.989,
1972-07,0.888,
1972-08,0.894,
1972-09,0.924,
1972-10,0.931,
1972-11,0.916,
1972-12,0.891,
1973-01,0.945,
1973-02,1.027,
1973-03,1.043,
1973-04,1.027,
1973-05,1.011,
1973-06,0.992,
1973-07,1.003,
1973-08,0.980,
1973-09,0.945,
1973-10,0.916,
1973-11,0.902,
1973-12,0.859,
1974-01,0.883,
1974-02,0.915,
1974-03,0.915,
1974-04,0.840,
1974-05,0.829,
1974-06,0.813,
1974-07,0.836,
1974-08,0.833,
1974-09,0.872,
1974-10,0.806,
1974-11,0.787,
1974-12,0.767,
1975-01,0.800,
1975-02,0.832,
1975-03,0.816,
1975-04,0.842,
1975-05,0.839,
1975-06,0.821,
1975-07,0.790,
1975-08,0.796,
1975-09,0.785,
1975-10,0.745,
1975-11,0.765,
1975-12,0.803,
1976-01,0.841,
1976-02,0.896,
1976-03,0.909,
1976-04,0.900,
1976-05,0.872,
1976-06,0.871,
1976-07,0.886,
1976-08,0.859,
1976-09,0.932,
1976-10,0.954,
1976-11,0.919,
1976-12,0.887,
1977-01,1.121,
1977-02,1.155,
1977-03,1.168,
1977-04,1.191,
1977-05,1.153,
1977-06,1.202,
1977-07,1.291,
1977-08,1.354,
1977-09,1.294,
1977-10,1.304,
1977-11,1.309,
1977-12,1.270,
1978-01,1.463,
1978-02,1.573,
1978-03,1.514,
1978-04,1.422,
1978-05,1.393,
1978-06,1.407,
1978-07,1.389,
1978-08,1.480,
1978-09,1.666,
1978-10,1.621,
1978-11,1.547,
1978-12,1.467,
1979-01,1.543,
1979-02,1.582,
1979-03,1.618,
1979-04,1.493,
1979-05,1.388,
1979-06,1.504,
1979-07,1.422,
1979-08,1.446,
1979-09,1.383,
1979-10,1.385,
1979-11,1.388,
1979-12,1.240,
1980-01,1.407,
1980-02,1.456,
1980-03,1.482,
1980-04,1.542,
1980-05,1.567,
1980-06,1.501,
1980-07,1.495,
1980-08,1.429,
1980-09,1.381,
1980-10,1.252,
1980-11,1.221,
1980-12,1.125,
1981-01,1.411,
1981-02,1.566,
1981-03,1.324,
1981-04,1.231,
1981-05,1.205,
1981-06,1.193,
1981-07,1.224,
1981-08,1.235,
1981-09,1.331,
