"",BBK01.OEXL03V,BBK01.OEXL03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:04,
2002-01,0.356,
2002-04,0.345,
2002-07,0.335,
2002-10,0.341,
2003-01,0.326,
2003-04,0.296,
2003-07,0.277,
2003-10,0.256,
2004-01,0.245,
2004-04,0.168,
2004-07,0.155,
2004-10,0.075,
2005-01,0.068,
2005-04,0.060,
2005-07,0.055,
2005-10,0.058,
2006-01,0.070,
2006-04,0.063,
2006-07,0.082,
2006-10,0.194,
2007-01,0.193,
2007-04,0.182,
2007-07,0.172,
2007-10,0.167,
2008-01,0.176,
2008-04,0.175,
2008-07,0.176,
2008-10,0.234,
2009-01,0.203,
2009-04,0.186,
2009-07,0.153,
2009-10,0.140,
2010-01,0.191,
2010-04,0.216,
2010-07,0.174,
2010-10,0.161,
2011-01,0.173,
2011-04,0.179,
2011-07,0.195,
2011-10,0.213,
2012-01,0.222,
2012-04,0.220,
2012-07,0.191,
2012-10,0.214,
2013-01,0.228,
2013-04,0.225,
2013-07,0.221,
2013-10,0.225,
2014-01,0.221,
2014-04,0.225,
2014-07,0.222,
