"",BBK01.OEYB17P,BBK01.OEYB17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:00,
2002-01,1.086,
2002-04,1.086,
2002-07,1.128,
2002-10,1.165,
2003-01,1.199,
2003-04,1.228,
2003-07,1.153,
2003-10,1.189,
2004-01,1.213,
2004-04,1.328,
2004-07,1.361,
2004-10,1.337,
2005-01,1.367,
2005-04,1.368,
2005-07,1.379,
2005-10,1.380,
2006-01,1.375,
2006-04,1.379,
2006-07,1.375,
2006-10,1.389,
2007-01,1.413,
2007-04,1.432,
2007-07,1.450,
2007-10,1.448,
2008-01,1.431,
2008-04,0.668,
2008-07,0.648,
2008-10,0.624,
2009-01,0.610,
2009-04,0.588,
2009-07,0.569,
2009-10,0.532,
2010-01,0.514,
2010-04,0.513,
2010-07,0.585,
2010-10,0.569,
2011-01,0.558,
2011-04,0.571,
2011-07,0.568,
2011-10,0.551,
2012-01,0.545,
2012-04,0.542,
2012-07,0.514,
2012-10,0.500,
2013-01,0.548,
2013-04,0.545,
2013-07,0.527,
2013-10,0.513,
2014-01,0.503,
2014-04,0.510,
2014-07,0.505,
