"",BBK01.WZ3081,BBK01.WZ3081_FLAGS
"","Yields, derived from the term structure of interest rates, on Pfandbriefe with annual coupon payments / residual maturity of 4.0 years / end of month",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:54,
2000-01,5.28,
2000-02,5.20,
2000-03,5.19,
2000-04,5.53,
2000-05,5.53,
2000-06,5.61,
2000-07,5.68,
2000-08,5.66,
2000-09,5.56,
2000-10,5.49,
2000-11,5.13,
2000-12,4.92,
2001-01,4.90,
2001-02,4.77,
2001-03,4.82,
2001-04,4.96,
2001-05,4.85,
2001-06,4.83,
2001-07,4.64,
2001-08,4.45,
2001-09,4.17,
2001-10,4.09,
2001-11,4.42,
2001-12,4.57,
2002-01,4.68,
2002-02,4.91,
2002-03,4.94,
2002-04,4.92,
2002-05,4.79,
2002-06,4.61,
2002-07,4.33,
2002-08,4.02,
2002-09,3.90,
2002-10,3.97,
2002-11,3.77,
2002-12,3.53,
2003-01,3.26,
2003-02,3.29,
2003-03,3.46,
2003-04,3.13,
2003-05,2.88,
2003-06,3.13,
2003-07,3.49,
2003-08,3.48,
2003-09,3.51,
2003-10,3.70,
2003-11,3.66,
2003-12,3.47,
2004-01,3.50,
2004-02,3.24,
2004-03,3.12,
2004-04,3.45,
2004-05,3.50,
2004-06,3.68,
2004-07,3.58,
2004-08,3.36,
2004-09,3.34,
2004-10,3.19,
2004-11,3.10,
2004-12,3.14,
2005-01,3.01,
2005-02,3.14,
2005-03,3.12,
2005-04,2.85,
2005-05,2.77,
2005-06,2.59,
2005-07,2.72,
2005-08,2.69,
2005-09,2.80,
2005-10,3.08,
2005-11,3.20,
2005-12,3.19,
2006-01,3.38,
2006-02,3.46,
2006-03,3.73,
2006-04,3.89,
2006-05,3.80,
2006-06,4.02,
2006-07,3.92,
2006-08,3.91,
2006-09,3.86,
2006-10,3.95,
2006-11,3.92,
2006-12,3.99,
2007-01,4.24,
2007-02,4.11,
2007-03,4.23,
2007-04,4.39,
2007-05,4.61,
2007-06,4.75,
2007-07,4.67,
2007-08,4.53,
2007-09,4.56,
2007-10,4.46,
2007-11,4.40,
2007-12,4.59,
2008-01,4.07,
2008-02,3.97,
2008-03,4.21,
2008-04,4.45,
2008-05,4.79,
2008-06,5.15,
2008-07,5.01,
2008-08,4.77,
2008-09,4.78,
2008-10,4.18,
2008-11,3.65,
2008-12,3.41,
2009-01,3.38,
2009-02,3.30,
2009-03,3.23,
2009-04,3.26,
2009-05,3.29,
2009-06,3.25,
2009-07,3.10,
2009-08,2.91,
2009-09,2.81,
2009-10,2.89,
2009-11,2.74,
2009-12,2.79,
2010-01,2.71,
2010-02,2.43,
2010-03,2.40,
2010-04,2.28,
2010-05,2.08,
2010-06,2.04,
2010-07,2.17,
2010-08,1.79,
2010-09,1.97,
2010-10,2.21,
2010-11,2.33,
2010-12,2.45,
2011-01,2.82,
2011-02,2.86,
2011-03,3.11,
2011-04,3.10,
2011-05,2.83,
2011-06,2.81,
2011-07,2.56,
2011-08,2.16,
2011-09,2.09,
2011-10,2.13,
2011-11,2.20,
2011-12,1.89,
2012-01,1.75,
2012-02,1.69,
2012-03,1.69,
2012-04,1.56,
2012-05,1.35,
2012-06,1.41,
2012-07,1.13,
2012-08,0.99,
2012-09,0.97,
2012-10,0.97,
2012-11,0.88,
2012-12,0.80,
2013-01,1.18,
2013-02,0.92,
2013-03,0.89,
2013-04,0.76,
2013-05,0.90,
2013-06,1.14,
2013-07,1.09,
2013-08,1.25,
2013-09,1.14,
2013-10,1.06,
2013-11,0.95,
2013-12,1.11,
2014-01,0.94,
2014-02,0.88,
2014-03,0.88,
2014-04,0.86,
2014-05,0.71,
2014-06,0.63,
2014-07,0.62,
2014-08,0.50,
2014-09,0.45,
2014-10,0.44,
2014-11,0.39,
2014-12,0.34,
2015-01,0.31,
