"",BBFB1.Q.N.DE.S6.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:49,
1991-01,142.935,
1991-04,141.465,
1991-07,144.930,
1991-10,149.945,
1992-01,157.656,
1992-04,159.344,
1992-07,165.191,
1992-10,174.135,
1993-01,472.340,
1993-04,473.344,
1993-07,499.677,
1993-10,522.642,
1994-01,449.402,
1994-04,445.358,
1994-07,449.431,
1994-10,480.301,
1995-01,668.228,
1995-04,656.094,
1995-07,667.869,
1995-10,697.865,
1996-01,380.301,
1996-04,389.512,
1996-07,392.206,
1996-10,424.886,
1997-01,289.447,
1997-04,300.825,
1997-07,309.141,
1997-10,302.031,
1998-01,464.720,
1998-04,461.379,
1998-07,506.236,
1998-10,527.751,
1999-01,513.986,
1999-04,573.987,
1999-07,582.388,
1999-10,632.919,
2000-01,197.152,
2000-04,202.865,
2000-07,252.678,
2000-10,259.977,
2001-01,469.895,
2001-04,537.080,
2001-07,552.783,
2001-10,638.487,
2002-01,387.026,
2002-04,411.927,
2002-07,457.360,
2002-10,447.400,
2003-01,541.998,
2003-04,515.304,
2003-07,847.217,
2003-10,512.258,
2004-01,536.985,
2004-04,495.234,
2004-07,486.517,
2004-10,506.300,
2005-01,524.433,
2005-04,480.683,
2005-07,544.739,
2005-10,575.823,
2006-01,1081.849,
2006-04,1109.068,
2006-07,1307.938,
2006-10,1458.236,
2007-01,1141.132,
2007-04,1126.920,
2007-07,1050.352,
2007-10,992.761,
2008-01,1110.628,
2008-04,1057.237,
2008-07,1162.843,
2008-10,1419.725,
2009-01,1182.832,
2009-04,895.323,
2009-07,913.093,
2009-10,978.058,
2010-01,1114.765,
2010-04,1308.921,
2010-07,1423.081,
2010-10,1442.964,
2011-01,828.536,
2011-04,768.225,
2011-07,715.494,
2011-10,898.984,
2012-01,505.210,
2012-04,640.145,
2012-07,555.569,
2012-10,619.228,
2013-01,1347.940,
2013-04,1404.435,
2013-07,1371.026,
2013-10,1465.849,
2014-01,816.001,Provisional value
2014-04,1054.620,Provisional value
2014-07,889.028,Provisional value
