"",BBK01.OEHB20S,BBK01.OEHB20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:17,
2002-01,2.866,
2002-04,2.896,
2002-07,2.939,
2002-10,2.977,
2003-01,2.978,
2003-04,2.998,
2003-07,3.034,
2003-10,3.066,
2004-01,3.049,
2004-04,3.063,
2004-07,3.062,
2004-10,3.074,
2005-01,3.040,
2005-04,3.026,
2005-07,3.018,
2005-10,3.017,
2006-01,2.980,
2006-04,2.985,
2006-07,2.991,
2006-10,2.986,
2007-01,2.950,
2007-04,2.940,
2007-07,2.923,
2007-10,2.889,
2008-01,2.865,
2008-04,2.859,
2008-07,2.858,
2008-10,2.836,
2009-01,2.820,
2009-04,2.826,
2009-07,2.835,
2009-10,2.849,
2010-01,2.851,
2010-04,2.894,
2010-07,2.934,
2010-10,3.017,
2011-01,3.038,
2011-04,3.078,
2011-07,3.125,
2011-10,3.165,
2012-01,3.192,
2012-04,3.261,
2012-07,3.333,
2012-10,3.404,
2013-01,3.445,
2013-04,3.529,
2013-07,3.622,
2013-10,3.700,
2014-01,3.749,
2014-04,3.847,
2014-07,3.961,
