"",BBK01.OEAH20Q,BBK01.OEAH20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:05,
2002-01,0.114,
2002-04,0.123,
2002-07,0.134,
2002-10,0.152,
2003-01,0.141,
2003-04,0.124,
2003-07,0.147,
2003-10,0.149,
2004-01,0.154,
2004-04,0.138,
2004-07,0.137,
2004-10,0.191,
2005-01,0.220,
2005-04,0.235,
2005-07,0.299,
2005-10,0.422,
2006-01,0.503,
2006-04,0.466,
2006-07,0.473,
2006-10,0.473,
2007-01,0.475,
2007-04,0.644,
2007-07,0.685,
2007-10,0.736,
2008-01,0.785,
2008-04,0.879,
2008-07,1.002,
2008-10,1.031,
2009-01,1.004,
2009-04,1.009,
2009-07,1.095,
2009-10,1.101,
2010-01,1.040,
2010-04,0.915,
2010-07,0.781,
2010-10,0.673,
2011-01,1.011,
2011-04,1.176,
2011-07,1.215,
2011-10,1.401,
2012-01,1.164,
2012-04,1.506,
2012-07,1.456,
2012-10,1.290,
2013-01,1.446,
2013-04,1.813,
2013-07,1.467,
2013-10,1.590,
2014-01,1.581,
2014-04,1.543,
2014-07,1.824,
