"",BBFB1.Q.N.DE.PT.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:32,
1991-01,25.601,
1991-04,36.556,
1991-07,45.372,
1991-10,47.833,
1992-01,43.374,
1992-04,36.628,
1992-07,30.531,
1992-10,27.438,
1993-01,36.817,
1993-04,41.989,
1993-07,52.911,
1993-10,56.855,
1994-01,45.387,
1994-04,38.594,
1994-07,53.524,
1994-10,39.636,
1995-01,50.287,
1995-04,56.990,
1995-07,67.390,
1995-10,70.107,
1996-01,65.297,
1996-04,63.170,
1996-07,72.214,
1996-10,63.034,
1997-01,66.830,
1997-04,78.695,
1997-07,69.087,
1997-10,77.684,
1998-01,85.662,
1998-04,88.378,
1998-07,93.766,
1998-10,88.014,
1999-01,83.726,
1999-04,86.362,
1999-07,90.069,
1999-10,108.171,
2000-01,106.310,
2000-04,114.437,
2000-07,108.204,
2000-10,108.088,
2001-01,99.164,
2001-04,84.858,
2001-07,68.509,
2001-10,52.572,
2002-01,43.863,
2002-04,46.051,
2002-07,56.704,
2002-10,62.546,
2003-01,65.104,
2003-04,67.376,
2003-07,68.381,
2003-10,72.417,
2004-01,81.763,
2004-04,87.378,
2004-07,86.122,
2004-10,84.718,
2005-01,69.514,
2005-04,68.995,
2005-07,65.420,
2005-10,60.839,
2006-01,65.293,
2006-04,73.422,
2006-07,79.522,
2006-10,91.548,
2007-01,106.183,
2007-04,118.064,
2007-07,122.199,
2007-10,123.195,
2008-01,111.160,
2008-04,106.395,
2008-07,93.499,
2008-10,74.835,
2009-01,48.559,
2009-04,46.069,
2009-07,41.284,
2009-10,42.620,
2010-01,38.587,
2010-04,43.583,
2010-07,38.026,
2010-10,46.597,
2011-01,32.594,
2011-04,54.952,
2011-07,76.011,
2011-10,84.736,
2012-01,79.231,
2012-04,60.598,
2012-07,35.221,
2012-10,15.505,
2013-01,16.622,
2013-04,23.697,
2013-07,20.152,
2013-10,17.449,
2014-01,15.817,Provisional value
2014-04,20.255,Provisional value
2014-07,17.839,Provisional value
