"",BBK01.OECI01J,BBK01.OECI01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:20,
2002-01,1.829,
2002-04,1.752,
2002-07,1.654,
2002-10,1.756,
2003-01,1.642,
2003-04,1.651,
2003-07,1.584,
2003-10,1.655,
2004-01,1.603,
2004-04,1.457,
2004-07,1.703,
2004-10,1.715,
2005-01,2.247,
2005-04,2.197,
2005-07,2.145,
2005-10,2.331,
2006-01,2.229,
2006-04,2.186,
2006-07,2.141,
2006-10,2.266,
2007-01,2.248,
2007-04,2.354,
2007-07,2.706,
2007-10,2.903,
2008-01,2.914,
2008-04,2.959,
2008-07,3.086,
2008-10,3.571,
2009-01,3.573,
2009-04,3.410,
2009-07,3.513,
2009-10,3.666,
2010-01,3.440,
2010-04,3.288,
2010-07,3.189,
2010-10,3.327,
2011-01,3.302,
2011-04,3.274,
2011-07,3.299,
2011-10,3.427,
2012-01,3.438,
2012-04,8.473,
2012-07,8.458,
2012-10,7.956,
2013-01,7.583,
2013-04,5.931,
2013-07,4.964,
2013-10,5.088,
2014-01,3.506,
2014-04,3.500,
2014-07,3.536,
