"",BBK01.PC3662,BBK01.PC3662_FLAGS
"",Lending to domestic non-profit institutions / Long-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:28:34,
1985-10,0.003,
1986-01,0.003,
1986-04,0.003,
1986-07,0.003,
1986-10,0.004,
1987-01,0.004,
1987-04,0.005,
1987-07,0.005,
1987-10,0.007,
1988-01,0.007,
1988-04,0.007,
1988-07,0.007,
1988-10,0.007,
1989-01,0.007,
1989-04,0.007,
1989-07,0.007,
1989-10,0.007,
1990-01,0.009,
1990-04,0.009,
1990-07,0.008,
1990-10,0.008,
1991-01,0.009,
1991-04,0.006,
1991-07,0.006,
1991-10,0.006,
1992-01,0.006,
1992-04,0.007,
1992-07,0.008,
1992-10,0.071,
1993-01,0.062,
1993-04,0.058,
1993-07,0.058,
1993-10,0.057,
1994-01,0.059,
1994-04,0.065,
1994-07,0.069,
1994-10,0.080,
1995-01,0.057,
1995-04,0.057,
1995-07,0.061,
1995-10,0.060,
1996-01,0.060,
1996-04,0.060,
1996-07,0.058,
1996-10,0.058,
1997-01,0.057,
1997-04,0.055,
1997-07,0.052,
1997-10,0.053,
1998-01,0.053,
1998-04,0.053,
1998-07,0.053,
1998-10,0.054,
1999-01,0.055,
1999-04,0.057,
1999-07,0.057,
1999-10,0.062,
2000-01,0.065,
2000-04,0.064,
2000-07,0.052,
2000-10,0.051,
2001-01,0.063,
2001-04,0.063,
2001-07,0.059,
2001-10,0.050,
2002-01,0.055,
2002-04,0.062,
2002-07,0.119,
2002-10,0.111,
2003-01,0.138,
2003-04,0.140,
2003-07,0.130,
2003-10,0.136,
2004-01,0.137,
2004-04,0.135,
2004-07,0.136,
2004-10,0.136,
2005-01,0.133,
2005-04,0.112,
2005-07,0.080,
2005-10,0.336,
2006-01,0.369,
2006-04,0.376,
2006-07,0.373,
2006-10,0.471,
2007-01,0.428,
2007-04,0.420,
2007-07,0.404,
2007-10,0.389,
2008-01,0.369,
2008-04,0.333,
2008-07,0.317,
2008-10,0.338,
2009-01,0.340,
2009-04,0.300,
2009-07,0.293,
2009-10,0.289,
2010-01,0.286,
2010-04,0.284,
2010-07,0.358,
2010-10,0.352,
2011-01,0.347,
2011-04,0.338,
2011-07,0.299,
2011-10,0.315,
2012-01,0.319,
2012-04,0.315,
2012-07,0.304,
2012-10,0.295,
2013-01,0.285,
2013-04,0.237,
2013-07,0.202,
2013-10,0.198,
2014-01,0.195,
2014-04,0.191,
2014-07,0.185,
2014-10,0.206,
