"",BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:11,
1991-01,4287.577,
1991-04,3328.884,
1991-07,3753.248,
1991-10,5485.424,
1992-01,2577.868,
1992-04,2327.146,
1992-07,3321.754,
1992-10,4076.074,
1993-01,2769.481,
1993-04,2129.281,
1993-07,2867.247,
1993-10,4278.702,
1994-01,3173.868,
1994-04,3484.331,
1994-07,2153.057,
1994-10,3720.827,
1995-01,7151.850,
1995-04,3705.442,
1995-07,2762.577,
1995-10,6787.523,
1996-01,8413.769,
1996-04,5871.550,
1996-07,3864.227,
1996-10,9407.691,
1997-01,4886.925,
1997-04,9204.752,
1997-07,5761.423,
1997-10,8044.054,
1998-01,14778.630,
1998-04,16769.004,
1998-07,-1000.503,
1998-10,8519.892,
1999-01,16348.990,
1999-04,19044.113,
1999-07,11200.866,
1999-10,46592.513,
2000-01,17924.090,
2000-04,33300.794,
2000-07,11021.627,
2000-10,-12579.810,
2001-01,5500.495,
2001-04,-1946.595,
2001-07,7881.598,
2001-10,10247.981,
2002-01,4536.226,
2002-04,16777.212,
2002-07,13834.104,
2002-10,1490.906,
2003-01,20050.177,
2003-04,5678.199,
2003-07,-2177.234,
2003-10,6122.360,
2004-01,-2430.008,
2004-04,3940.769,
2004-07,2484.488,
2004-10,-8617.259,
2005-01,14771.702,
2005-04,13714.177,
2005-07,11578.882,
2005-10,26484.979,
2006-01,25023.966,
2006-04,10764.126,
2006-07,29504.242,
2006-10,26279.090,
2007-01,26428.443,
2007-04,22777.245,
2007-07,22729.349,
2007-10,-1064.139,
2008-01,34064.757,
2008-04,17823.720,
2008-07,8561.407,
2008-10,13834.124,
2009-01,18857.851,
2009-04,16771.975,
2009-07,11709.144,
2009-10,18801.034,
2010-01,28002.587,
2010-04,23314.064,
2010-07,4177.748,
2010-10,22087.426,
2011-01,25607.285,
2011-04,18016.843,
2011-07,10916.823,
2011-10,3909.675,
2012-01,28921.150,
2012-04,19318.359,
2012-07,21053.212,
2012-10,11328.859,
2013-01,19579.398,
2013-04,17382.595,
2013-07,2462.326,
2013-10,1384.173,
2014-01,24994.977,Provisional value
2014-04,19457.627,Provisional value
2014-07,19105.706,Provisional value
2014-10,10115.475,Provisional value
