"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.CY.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.CY.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Cyprus,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:47,
2009-09,229,
2009-10,219,
2009-11,213,
2009-12,216,
2010-01,270,
2010-02,316,
2010-03,312,
2010-04,307,
2010-05,291,
2010-06,291,
2010-07,314,
2010-08,316,
2010-09,319,
2010-10,477,
2010-11,434,
2010-12,430,
2011-01,412,
2011-02,418,
2011-03,406,
2011-04,384,
2011-05,364,
2011-06,331,
2011-07,262,
2011-08,224,
2011-09,234,
2011-10,243,
2011-11,229,
2011-12,209,
2012-01,205,
2012-02,200,
2012-03,179,
2012-04,175,
2012-05,156,
2012-06,148,
2012-07,137,
2012-08,124,
2012-09,128,
2012-10,131,
2012-11,131,
2012-12,133,
2013-01,121,
2013-02,124,
2013-03,84,
2013-04,99,
2013-05,103,
2013-06,71,
2013-07,70,
2013-08,75,
2013-09,77,
2013-10,57,
2013-11,53,
2013-12,57,
2014-01,56,
2014-02,69,
2014-03,71,
2014-04,80,
2014-05,84,
2014-06,97,
2014-07,88,
2014-08,85,
2014-09,91,
2014-10,88,
2014-11,87,
