"",BBFN1.M.DE.N.1.A.QA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.QA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Qatar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:09,
1995-01,0.003,
1995-02,0.003,
1995-03,0.003,
1995-04,0.003,
1995-05,0.003,
1995-06,0.003,
1995-07,0.004,
1995-08,0.004,
1995-09,0.003,
1995-10,0.004,
1995-11,0.004,
1995-12,0.004,
1996-01,0.004,
1996-02,0.005,
1996-03,0.004,
1996-04,0.004,
1996-05,0.005,
1996-06,0.006,
1996-07,0.006,
1996-08,0.007,
1996-09,0.006,
1996-10,0.008,
1996-11,0.008,
1996-12,0.008,
1997-01,0.008,
1997-02,0.008,
1997-03,0.008,
1997-04,0.008,
1997-05,0.008,
1997-06,0.008,
1997-07,0.010,
1997-08,0.011,
1997-09,0.012,
1997-10,0.013,
1997-11,0.014,
1997-12,0.007,
1998-01,0.021,
1998-02,0.020,
1998-03,0.020,
1998-04,0.019,
1998-05,0.020,
1998-06,0.020,
1998-07,0.020,
1998-08,0.020,
1998-09,0.021,
1998-10,0.022,
1998-11,0.023,
1998-12,0.024,
1999-01,0.023,
1999-02,0.024,
1999-03,0.024,
1999-04,0.025,
1999-05,0.027,
1999-06,0.030,
1999-07,0.026,
1999-08,0.026,
1999-09,0.027,
1999-10,0.027,
1999-11,0.027,
1999-12,0.032,
2000-01,0.032,
2000-02,0.032,
2000-03,0.031,
2000-04,0.033,
2000-05,0.033,
2000-06,0.032,
2000-07,0.032,
2000-08,0.032,
2000-09,0.033,
2000-10,0.032,
2000-11,0.032,
2000-12,0.003,
2001-01,0.004,
2001-02,0.003,
2001-03,0.002,
2001-04,0.002,
2001-05,0.002,
2001-06,0.002,
2001-07,0.005,
2001-08,0.004,
2001-09,0.003,
2001-10,0.005,
2001-11,0.004,
2001-12,0.006,
2002-01,0.007,
2002-02,0.008,
2002-03,0.005,
2002-04,0.005,
2002-05,0.005,
2002-06,0.005,
2002-07,0.004,
2002-08,0.005,
2002-09,0.004,
2002-10,0.006,
2002-11,0.005,
2002-12,0.005,
2003-01,0.004,
2003-02,0.004,
2003-03,0.007,
2003-04,0.008,
2003-05,0.008,
2003-06,0.010,
2003-07,0.008,
2003-08,0.009,
2003-09,0.009,
2003-10,0.009,
2003-11,0.010,
2003-12,0.007,
2004-01,0.006,
2004-02,0.008,
2004-03,0.008,
2004-04,0.007,
2004-05,0.008,
2004-06,0.007,
2004-07,0.006,
2004-08,0.006,
2004-09,0.006,
2004-10,0.006,
2004-11,0.006,
2004-12,0.006,
2005-01,0.007,
2005-02,0.013,
2005-03,0.012,
2005-04,0.012,
2005-05,0.013,
2005-06,0.012,
2005-07,0.012,
2005-08,0.011,
2005-09,0.006,
2005-10,0.008,
2005-11,0.008,
2005-12,0.005,
2006-01,0.005,
2006-02,0.012,
2006-03,0.008,
2006-04,0.009,
2006-05,0.006,
2006-06,0.007,
2006-07,0.006,
2006-08,0.007,
2006-09,0.009,
2006-10,0.007,
2006-11,0.007,
2006-12,0.007,
2007-01,0.007,
2007-02,0.007,
2007-03,0.010,
2007-04,0.006,
2007-05,0.006,
2007-06,0.006,
2007-07,0.007,
2007-08,0.009,
2007-09,0.010,
2007-10,0.011,
2007-11,0.012,
2007-12,0.012,
2008-01,0.014,
2008-02,0.014,
2008-03,0.026,
2008-04,0.029,
2008-05,0.028,
2008-06,0.032,
2008-07,0.052,
2008-08,0.043,
2008-09,0.031,
2008-10,0.025,
2008-11,0.032,
2008-12,0.031,
2009-01,0.056,
2009-02,0.094,
2009-03,0.105,
2009-04,0.103,
2009-05,0.108,
2009-06,0.114,
2009-07,0.110,
2009-08,0.118,
2009-09,0.142,
2009-10,0.157,
2009-11,0.154,
2009-12,0.166,
2010-01,0.168,
2010-02,0.175,
2010-03,0.144,
2010-04,0.164,
2010-05,0.190,
2010-06,0.187,
2010-07,0.185,
2010-08,0.194,
2010-09,0.177,
2010-10,0.184,
2010-11,0.188,
2010-12,0.189,
2011-01,0.188,
2011-02,0.192,
2011-03,0.226,
2011-04,0.228,
2011-05,0.201,
2011-06,0.193,
2011-07,0.195,
2011-08,0.191,
2011-09,0.183,
2011-10,0.160,
2011-11,0.160,
2011-12,0.161,
2012-01,0.148,
2012-02,0.167,
2012-03,0.170,
2012-04,0.166,
2012-05,0.170,
2012-06,0.176,
2012-07,0.175,
2012-08,0.183,
2012-09,0.153,
2012-10,0.155,
2012-11,0.158,
2012-12,0.158,
2013-01,0.168,
2013-02,0.177,
2013-03,0.176,
2013-04,0.176,
2013-05,0.181,
2013-06,0.189,
2013-07,0.143,
2013-08,0.182,
2013-09,0.169,
2013-10,0.158,
2013-11,0.164,
2013-12,0.176,
2014-01,0.192,
2014-02,0.201,
2014-03,0.204,
2014-04,0.218,
2014-05,0.225,
2014-06,0.210,
2014-07,0.226,
2014-08,0.224,
2014-09,0.217,
2014-10,0.219,
2014-11,0.247,
2014-12,0.149,
