"",BBFN1.M.DE.N.1.L.SK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Slovak Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:38,
1995-01,0.003,
1995-02,0.012,
1995-03,0.003,
1995-04,0.003,
1995-05,0.003,
1995-06,0.003,
1995-07,0.003,
1995-08,0.003,
1995-09,0.004,
1995-10,0.002,
1995-11,0.002,
1995-12,0.003,
1996-01,0.001,
1996-02,0.001,
1996-03,0.001,
1996-04,0.001,
1996-05,0.007,
1996-06,0.006,
1996-07,0.005,
1996-08,0.005,
1996-09,0.006,
1996-10,0.005,
1996-11,0.005,
1996-12,0.004,
1997-01,0.004,
1997-02,0.003,
1997-03,0.002,
1997-04,0.002,
1997-05,0.002,
1997-06,0.001,
1997-07,0.001,
1997-08,0.001,
1997-09,0.001,
1997-10,0.002,
1997-11,0.002,
1997-12,0.002,
1998-01,0.005,
1998-02,0.006,
1998-03,0.002,
1998-04,0.003,
1998-05,0.002,
1998-06,0.001,
1998-07,0.001,
1998-08,0.003,
1998-09,0.007,
1998-10,0.007,
1998-11,0.006,
1998-12,0.003,
1999-01,0.003,
1999-02,0.006,
1999-03,0.002,
1999-04,0.002,
1999-05,0.005,
1999-06,0.005,
1999-07,0.005,
1999-08,0.003,
1999-09,0.012,
1999-10,0.003,
1999-11,0.004,
1999-12,0.007,
2000-01,0.017,
2000-02,0.012,
2000-03,0.032,
2000-04,0.016,
2000-05,0.017,
2000-06,0.022,
2000-07,0.022,
2000-08,0.016,
2000-09,0.012,
2000-10,0.012,
2000-11,0.012,
2000-12,0.016,
2001-01,0.012,
2001-02,0.012,
2001-03,0.019,
2001-04,0.020,
2001-05,0.019,
2001-06,0.017,
2001-07,0.020,
2001-08,0.017,
2001-09,0.020,
2001-10,0.035,
2001-11,0.027,
2001-12,0.037,
2002-01,0.029,
2002-02,0.026,
2002-03,0.030,
2002-04,0.027,
2002-05,0.030,
2002-06,0.029,
2002-07,0.028,
2002-08,0.029,
2002-09,0.025,
2002-10,0.029,
2002-11,0.030,
2002-12,0.038,
2003-01,0.035,
2003-02,0.039,
2003-03,0.035,
2003-04,0.041,
2003-05,0.037,
2003-06,0.047,
2003-07,0.042,
2003-08,0.048,
2003-09,0.049,
2003-10,0.052,
2003-11,0.062,
2003-12,0.059,
2004-01,0.046,
2004-02,0.025,
2004-03,0.027,
2004-04,0.026,
2004-05,0.024,
2004-06,0.040,
2004-07,0.029,
2004-08,0.033,
2004-09,0.036,
2004-10,0.036,
2004-11,0.056,
2004-12,0.051,
2005-01,0.023,
2005-02,0.054,
2005-03,0.039,
2005-04,0.041,
2005-05,0.038,
2005-06,0.046,
2005-07,0.047,
2005-08,0.059,
2005-09,0.068,
2005-10,0.069,
2005-11,0.088,
2005-12,0.099,
2006-01,0.110,
2006-02,0.102,
2006-03,0.102,
2006-04,0.104,
2006-05,0.095,
2006-06,0.093,
2006-07,0.085,
2006-08,0.072,
2006-09,0.086,
2006-10,0.070,
2006-11,0.077,
2006-12,0.108,
2007-01,0.143,
2007-02,0.138,
2007-03,0.126,
2007-04,0.137,
2007-05,0.146,
2007-06,0.165,
2007-07,0.192,
2007-08,0.205,
2007-09,0.224,
2007-10,0.208,
2007-11,0.217,
2007-12,0.247,
2008-01,0.224,
2008-02,0.274,
2008-03,0.284,
2008-04,0.298,
2008-05,0.349,
2008-06,0.316,
2008-07,0.299,
2008-08,0.301,
2008-09,0.322,
2008-10,0.384,
2008-11,0.431,
2008-12,0.425,
2009-01,0.550,
2009-02,0.555,
2009-03,0.423,
2009-04,0.308,
2009-05,0.328,
2009-06,0.332,
2009-07,0.364,
2009-08,0.428,
2009-09,0.405,
2009-10,0.432,
2009-11,0.440,
2009-12,0.413,
2010-01,0.386,
2010-02,0.388,
2010-03,0.409,
2010-04,0.410,
2010-05,0.413,
2010-06,0.405,
2010-07,0.410,
2010-08,0.391,
2010-09,0.417,
2010-10,0.577,
2010-11,0.579,
2010-12,0.608,
2011-01,0.553,
2011-02,0.670,
2011-03,0.701,
2011-04,0.718,
2011-05,0.567,
2011-06,0.634,
2011-07,0.556,
2011-08,0.607,
2011-09,0.654,
2011-10,0.677,
2011-11,0.702,
2011-12,0.798,
2012-01,0.727,
2012-02,0.703,
2012-03,0.673,
2012-04,0.630,
2012-05,0.696,
2012-06,0.613,
2012-07,0.624,
2012-08,0.799,
2012-09,0.636,
2012-10,0.665,
2012-11,0.667,
2012-12,0.570,
2013-01,0.497,
2013-02,0.544,
2013-03,0.567,
2013-04,0.589,
2013-05,0.578,
2013-06,0.610,
2013-07,0.913,
2013-08,0.494,
2013-09,0.585,
2013-10,0.580,
2013-11,0.801,
2013-12,0.711,
2014-01,0.701,
2014-02,0.925,
2014-03,0.912,
2014-04,0.935,
2014-05,0.616,
2014-06,0.673,
2014-07,0.614,
2014-08,0.691,
2014-09,0.663,
2014-10,0.861,
2014-11,0.857,
2014-12,0.852,
