"",BBK01.OEXI01U,BBK01.OEXI01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:32,
2002-01,2.011,
2002-04,2.003,
2002-07,2.019,
2002-10,2.079,
2003-01,2.029,
2003-04,2.044,
2003-07,2.094,
2003-10,2.134,
2004-01,2.122,
2004-04,2.032,
2004-07,2.096,
2004-10,1.995,
2005-01,2.023,
2005-04,2.074,
2005-07,2.107,
2005-10,2.175,
2006-01,2.203,
2006-04,2.222,
2006-07,2.323,
2006-10,2.595,
2007-01,2.686,
2007-04,2.904,
2007-07,2.886,
2007-10,3.058,
2008-01,3.034,
2008-04,3.107,
2008-07,3.146,
2008-10,3.383,
2009-01,3.462,
2009-04,3.549,
2009-07,3.904,
2009-10,3.891,
2010-01,3.927,
2010-04,3.916,
2010-07,3.975,
2010-10,4.078,
2011-01,4.197,
2011-04,4.278,
2011-07,4.398,
2011-10,4.432,
2012-01,4.419,
2012-04,4.372,
2012-07,4.186,
2012-10,4.198,
2013-01,4.068,
2013-04,4.179,
2013-07,4.196,
2013-10,4.131,
2014-01,4.382,
2014-04,4.441,
2014-07,4.321,
