"",BBK01.OELB18P,BBK01.OELB18P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:50,
2002-01,0.201,
2002-04,0.206,
2002-07,0.210,
2002-10,0.205,
2003-01,0.191,
2003-04,0.183,
2003-07,0.180,
2003-10,0.177,
2004-01,0.159,
2004-04,0.160,
2004-07,0.162,
2004-10,0.153,
2005-01,0.148,
2005-04,0.147,
2005-07,0.155,
2005-10,0.147,
2006-01,0.145,
2006-04,0.144,
2006-07,0.153,
2006-10,0.142,
2007-01,0.141,
2007-04,0.142,
2007-07,0.142,
2007-10,0.137,
2008-01,0.136,
2008-04,0.134,
2008-07,0.145,
2008-10,0.144,
2009-01,0.142,
2009-04,0.143,
2009-07,0.137,
2009-10,0.131,
2010-01,0.125,
2010-04,0.125,
2010-07,0.127,
2010-10,0.124,
2011-01,0.124,
2011-04,0.126,
2011-07,0.127,
2011-10,0.126,
2012-01,0.129,
2012-04,0.126,
2012-07,0.131,
2012-10,0.130,
2013-01,0.128,
2013-04,0.122,
2013-07,0.120,
2013-10,0.117,
2014-01,0.114,
2014-04,0.110,
2014-07,0.114,
