"",BBK01.OEAB09L,BBK01.OEAB09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:08,
2002-01,130.158,
2002-04,124.806,
2002-07,126.787,
2002-10,123.749,
2003-01,135.435,
2003-04,133.131,
2003-07,136.157,
2003-10,135.388,
2004-01,134.297,
2004-04,130.250,
2004-07,133.091,
2004-10,136.244,
2005-01,141.434,
2005-04,143.364,
2005-07,157.769,
2005-10,151.740,
2006-01,159.447,
2006-04,164.729,
2006-07,163.714,
2006-10,141.167,
2007-01,160.776,
2007-04,162.822,
2007-07,161.572,
2007-10,164.586,
2008-01,181.172,
2008-04,170.736,
2008-07,175.895,
2008-10,182.872,
2009-01,193.080,
2009-04,185.463,
2009-07,170.628,
2009-10,161.670,
2010-01,148.296,
2010-04,153.589,
2010-07,143.753,
2010-10,144.590,
2011-01,149.374,
2011-04,148.845,
2011-07,147.665,
2011-10,145.009,
2012-01,144.776,
2012-04,139.924,
2012-07,138.973,
2012-10,132.435,
2013-01,137.677,
2013-04,144.683,
2013-07,109.958,
2013-10,107.834,
2014-01,106.710,
2014-04,105.551,
2014-07,106.054,
