"",BBK01.OEAH46R,BBK01.OEAH46R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:48,
2002-01,0.202,
2002-04,0.196,
2002-07,0.185,
2002-10,0.186,
2003-01,0.169,
2003-04,0.158,
2003-07,0.157,
2003-10,0.158,
2004-01,0.149,
2004-04,0.137,
2004-07,0.141,
2004-10,0.137,
2005-01,0.125,
2005-04,0.119,
2005-07,0.122,
2005-10,0.118,
2006-01,0.112,
2006-04,0.113,
2006-07,0.118,
2006-10,0.126,
2007-01,0.120,
2007-04,0.153,
2007-07,0.123,
2007-10,0.137,
2008-01,0.149,
2008-04,0.166,
2008-07,0.168,
2008-10,0.172,
2009-01,0.137,
2009-04,0.115,
2009-07,0.103,
2009-10,0.077,
2010-01,0.068,
2010-04,0.062,
2010-07,0.061,
2010-10,0.059,
2011-01,0.061,
2011-04,0.055,
2011-07,0.060,
2011-10,0.065,
2012-01,0.067,
2012-04,0.060,
2012-07,0.056,
2012-10,0.053,
2013-01,0.052,
2013-04,0.052,
2013-07,0.047,
2013-10,0.047,
2014-01,0.044,
2014-04,0.042,
2014-07,0.040,
