"",BBK01.OECJ03G,BBK01.OECJ03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:23,
2002-01,1.766,
2002-04,1.824,
2002-07,1.932,
2002-10,1.870,
2003-01,1.618,
2003-04,1.467,
2003-07,1.591,
2003-10,1.644,
2004-01,1.315,
2004-04,1.238,
2004-07,1.139,
2004-10,1.534,
2005-01,3.246,
2005-04,3.322,
2005-07,3.583,
2005-10,4.026,
2006-01,3.410,
2006-04,3.407,
2006-07,3.670,
2006-10,4.253,
2007-01,5.000,
2007-04,5.519,
2007-07,6.346,
2007-10,6.927,
2008-01,7.045,
2008-04,7.085,
2008-07,7.330,
2008-10,7.394,
2009-01,7.422,
2009-04,7.408,
2009-07,7.188,
2009-10,6.627,
2010-01,6.686,
2010-04,6.734,
2010-07,6.802,
2010-10,6.730,
2011-01,6.931,
2011-04,6.829,
2011-07,7.157,
2011-10,7.515,
2012-01,7.505,
2012-04,7.510,
2012-07,7.405,
2012-10,6.807,
2013-01,6.796,
2013-04,6.759,
2013-07,6.923,
2013-10,6.785,
2014-01,6.572,
2014-04,6.510,
2014-07,6.437,
