"",BBK01.OEXL05N,BBK01.OEXL05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:15,
2002-01,1.936,
2002-04,2.064,
2002-07,2.285,
2002-10,2.491,
2003-01,2.682,
2003-04,2.740,
2003-07,2.691,
2003-10,2.683,
2004-01,2.672,
2004-04,2.697,
2004-07,2.833,
2004-10,1.423,
2005-01,1.422,
2005-04,1.290,
2005-07,1.301,
2005-10,0.821,
2006-01,0.806,
2006-04,0.802,
2006-07,0.828,
2006-10,0.849,
2007-01,0.884,
2007-04,0.893,
2007-07,0.902,
2007-10,0.966,
2008-01,0.971,
2008-04,0.978,
2008-07,0.926,
2008-10,0.950,
2009-01,1.177,
2009-04,1.417,
2009-07,1.529,
2009-10,1.502,
2010-01,1.588,
2010-04,1.646,
2010-07,1.785,
2010-10,1.872,
2011-01,1.940,
2011-04,2.048,
2011-07,2.215,
2011-10,2.229,
2012-01,2.286,
2012-04,2.254,
2012-07,2.352,
2012-10,2.473,
2013-01,2.503,
2013-04,2.631,
2013-07,2.668,
2013-10,2.896,
2014-01,3.019,
2014-04,3.240,
2014-07,3.310,
