"",BBK01.OEYB01O,BBK01.OEYB01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:38,
2002-01,45.914,
2002-04,46.072,
2002-07,47.205,
2002-10,47.547,
2003-01,49.533,
2003-04,46.418,
2003-07,41.801,
2003-10,45.751,
2004-01,45.205,
2004-04,45.711,
2004-07,45.421,
2004-10,47.158,
2005-01,46.623,
2005-04,47.108,
2005-07,46.873,
2005-10,46.888,
2006-01,47.854,
2006-04,47.932,
2006-07,47.930,
2006-10,47.785,
2007-01,47.460,
2007-04,48.078,
2007-07,49.559,
2007-10,49.227,
2008-01,49.295,
2008-04,49.236,
2008-07,42.256,
2008-10,40.237,
2009-01,38.784,
2009-04,38.463,
2009-07,38.765,
2009-10,42.646,
2010-01,42.191,
2010-04,41.301,
2010-07,41.143,
2010-10,40.884,
2011-01,40.285,
2011-04,40.208,
2011-07,41.156,
2011-10,40.303,
2012-01,39.573,
2012-04,39.906,
2012-07,38.380,
2012-10,38.599,
2013-01,37.318,
2013-04,35.965,
2013-07,42.300,
2013-10,41.840,
2014-01,41.923,
2014-04,40.473,
2014-07,39.548,
