"",BBDE1.Q.DE.Y.LCC1.N2F000000.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.N2F000000.A.L.I08.A_FLAGS
"",Index of non-wage costs / Germany / Section F - Construction / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:18,
1996-01,102.0,
1996-04,97.8,
1996-07,99.5,
1996-10,101.6,
1997-01,102.6,
1997-04,97.5,
1997-07,99.4,
1997-10,99.3,
1998-01,96.5,
1998-04,97.9,
1998-07,98.0,
1998-10,97.0,
1999-01,93.5,
1999-04,94.0,
1999-07,93.0,
1999-10,92.5,
2000-01,93.1,
2000-04,94.4,
2000-07,95.5,
2000-10,96.2,
2001-01,95.1,
2001-04,97.1,
2001-07,96.8,
2001-10,96.0,
2002-01,99.1,
2002-04,97.6,
2002-07,98.3,
2002-10,96.9,
2003-01,101.4,
2003-04,102.9,
2003-07,101.4,
2003-10,99.5,
2004-01,99.9,
2004-04,100.6,
2004-07,100.6,
2004-10,97.8,
2005-01,100.6,
2005-04,100.7,
2005-07,98.8,
2005-10,97.9,
2006-01,100.6,
2006-04,97.3,
2006-07,97.0,
2006-10,99.5,
2007-01,96.4,
2007-04,96.2,
2007-07,97.9,
2007-10,99.0,
2008-01,99.0,
2008-04,98.1,
2008-07,101.2,
2008-10,101.8,
2009-01,104.2,
2009-04,104.0,
2009-07,103.6,
2009-10,104.2,
2010-01,106.4,
2010-04,105.6,
2010-07,105.9,
2010-10,106.0,
2011-01,108.0,
2011-04,108.5,
2011-07,108.0,
2011-10,109.1,
2012-01,109.6,
2012-04,109.6,
2012-07,110.5,
2012-10,111.2,
2013-01,114.5,
2013-04,109.2,
2013-07,108.6,
2013-10,110.8,
2014-01,111.2,
2014-04,111.4,
2014-07,111.3,
