"",BBK01.OEHB13J,BBK01.OEHB13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:32,
2002-01,1.766,
2002-04,1.753,
2002-07,1.729,
2002-10,1.718,
2003-01,1.669,
2003-04,1.686,
2003-07,1.661,
2003-10,1.682,
2004-01,1.683,
2004-04,1.687,
2004-07,1.697,
2004-10,1.698,
2005-01,1.836,
2005-04,1.840,
2005-07,1.840,
2005-10,1.824,
2006-01,1.784,
2006-04,1.869,
2006-07,1.896,
2006-10,1.811,
2007-01,1.790,
2007-04,1.779,
2007-07,1.760,
2007-10,1.757,
2008-01,1.761,
2008-04,1.712,
2008-07,1.710,
2008-10,1.704,
2009-01,1.679,
2009-04,1.668,
2009-07,1.504,
2009-10,1.494,
2010-01,1.459,
2010-04,1.458,
2010-07,1.444,
2010-10,1.432,
2011-01,1.398,
2011-04,1.402,
2011-07,1.388,
2011-10,1.372,
2012-01,1.363,
2012-04,1.346,
2012-07,1.340,
2012-10,1.347,
2013-01,1.353,
2013-04,1.352,
2013-07,1.350,
2013-10,1.320,
2014-01,1.331,
2014-04,1.340,
2014-07,1.423,
