"",BBK01.OEAN06P,BBK01.OEAN06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:09,
2002-01,1.178,
2002-04,1.173,
2002-07,1.182,
2002-10,1.241,
2003-01,1.221,
2003-04,1.152,
2003-07,1.156,
2003-10,1.089,
2004-01,1.041,
2004-04,0.935,
2004-07,0.896,
2004-10,0.984,
2005-01,1.016,
2005-04,0.956,
2005-07,0.940,
2005-10,0.979,
2006-01,1.037,
2006-04,1.023,
2006-07,1.056,
2006-10,1.040,
2007-01,1.079,
2007-04,1.093,
2007-07,1.152,
2007-10,1.227,
2008-01,1.275,
2008-04,1.253,
2008-07,1.241,
2008-10,1.366,
2009-01,1.370,
2009-04,1.457,
2009-07,1.498,
2009-10,1.599,
2010-01,1.561,
2010-04,1.500,
2010-07,1.416,
2010-10,1.371,
2011-01,1.284,
2011-04,1.187,
2011-07,1.144,
2011-10,1.067,
2012-01,1.012,
2012-04,0.945,
2012-07,0.864,
2012-10,0.743,
2013-01,0.696,
2013-04,0.612,
2013-07,0.550,
2013-10,0.533,
2014-01,0.488,
2014-04,0.496,
2014-07,0.542,
