"",BBK01.OEAC19S,BBK01.OEAC19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:43,
2002-01,0.263,
2002-04,0.257,
2002-07,0.246,
2002-10,0.221,
2003-01,0.236,
2003-04,0.234,
2003-07,0.222,
2003-10,0.187,
2004-01,0.213,
2004-04,0.210,
2004-07,0.198,
2004-10,0.171,
2005-01,0.183,
2005-04,0.167,
2005-07,0.159,
2005-10,0.139,
2006-01,0.155,
2006-04,0.148,
2006-07,0.142,
2006-10,0.108,
2007-01,0.120,
2007-04,0.115,
2007-07,0.114,
2007-10,0.108,
2008-01,0.121,
2008-04,0.107,
2008-07,0.103,
2008-10,0.089,
2009-01,0.122,
2009-04,0.117,
2009-07,0.121,
2009-10,0.107,
2010-01,0.138,
2010-04,0.143,
2010-07,0.138,
2010-10,0.116,
2011-01,0.128,
2011-04,0.126,
2011-07,0.111,
2011-10,0.094,
2012-01,0.117,
2012-04,0.118,
2012-07,0.112,
2012-10,0.093,
2013-01,0.112,
2013-04,0.115,
2013-07,0.102,
2013-10,0.084,
2014-01,0.095,
2014-04,0.106,
2014-07,0.108,
