"",BBDE1.Q.DE.Y.LCA1.P2XG00300.A.L.I08.A1,BBDE1.Q.DE.Y.LCA1.P2XG00300.A.L.I08.A1_FLAGS
"",Index of labour costs / Germany / Section G-N - Market-based service activities / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:09,
1996-01,80.233,
1996-04,80.467,
1996-07,81.064,
1996-10,82.236,
1997-01,82.446,
1997-04,82.400,
1997-07,82.303,
1997-10,82.710,
1998-01,83.101,
1998-04,83.337,
1998-07,83.749,
1998-10,84.087,
1999-01,84.164,
1999-04,85.371,
1999-07,85.777,
1999-10,86.116,
2000-01,86.035,
2000-04,86.938,
2000-07,87.506,
2000-10,88.408,
2001-01,88.221,
2001-04,89.099,
2001-07,89.727,
2001-10,90.417,
2002-01,90.989,
2002-04,90.998,
2002-07,92.350,
2002-10,93.039,
2003-01,94.313,
2003-04,94.807,
2003-07,94.600,
2003-10,95.086,
2004-01,95.713,
2004-04,95.647,
2004-07,95.330,
2004-10,95.656,
2005-01,96.304,
2005-04,96.252,
2005-07,96.164,
2005-10,96.123,
2006-01,96.140,
2006-04,96.549,
2006-07,96.925,
2006-10,96.879,
2007-01,96.787,
2007-04,97.599,
2007-07,97.926,
2007-10,98.699,
2008-01,99.452,
2008-04,98.997,
2008-07,100.247,
2008-10,101.304,
2009-01,101.830,
2009-04,101.764,
2009-07,102.744,
2009-10,102.446,
2010-01,103.608,
2010-04,103.794,
2010-07,104.758,
2010-10,105.050,
2011-01,105.350,
2011-04,106.664,
2011-07,107.032,
2011-10,108.019,
2012-01,109.332,
2012-04,111.122,
2012-07,111.735,
2012-10,112.027,
2013-01,111.693,
2013-04,111.253,
2013-07,110.810,
2013-10,111.924,
2014-01,111.718,
2014-04,112.559,
2014-07,113.196,
