"",BBK01.OECB12N,BBK01.OECB12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:50,
2002-01,11.118,
2002-04,11.058,
2002-07,10.616,
2002-10,10.626,
2003-01,9.568,
2003-04,9.445,
2003-07,9.220,
2003-10,9.143,
2004-01,8.965,
2004-04,8.773,
2004-07,8.340,
2004-10,8.011,
2005-01,9.123,
2005-04,8.930,
2005-07,9.095,
2005-10,8.544,
2006-01,8.363,
2006-04,8.522,
2006-07,8.475,
2006-10,8.184,
2007-01,8.234,
2007-04,7.966,
2007-07,8.032,
2007-10,7.920,
2008-01,7.834,
2008-04,8.170,
2008-07,8.178,
2008-10,8.447,
2009-01,8.489,
2009-04,9.374,
2009-07,9.165,
2009-10,10.365,
2010-01,10.328,
2010-04,10.354,
2010-07,10.252,
2010-10,10.295,
2011-01,10.340,
2011-04,10.271,
2011-07,10.215,
2011-10,10.352,
2012-01,10.329,
2012-04,10.354,
2012-07,10.412,
2012-10,10.250,
2013-01,10.107,
2013-04,10.048,
2013-07,9.990,
2013-10,9.970,
2014-01,9.977,
2014-04,9.701,
2014-07,9.525,
