"",BBK01.OEBL01J,BBK01.OEBL01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:00,
2002-01,1.911,
2002-04,1.849,
2002-07,1.780,
2002-10,1.830,
2003-01,1.793,
2003-04,1.780,
2003-07,1.766,
2003-10,1.760,
2004-01,1.706,
2004-04,1.671,
2004-07,1.688,
2004-10,1.676,
2005-01,2.137,
2005-04,2.156,
2005-07,2.194,
2005-10,2.228,
2006-01,2.276,
2006-04,2.254,
2006-07,2.207,
2006-10,2.320,
2007-01,2.376,
2007-04,2.473,
2007-07,2.516,
2007-10,2.700,
2008-01,2.759,
2008-04,2.813,
2008-07,2.912,
2008-10,3.234,
2009-01,3.266,
2009-04,3.233,
2009-07,3.204,
2009-10,3.099,
2010-01,3.048,
2010-04,3.068,
2010-07,3.028,
2010-10,3.126,
2011-01,3.164,
2011-04,3.192,
2011-07,3.217,
2011-10,3.253,
2012-01,3.279,
2012-04,3.303,
2012-07,3.215,
2012-10,3.206,
2013-01,3.062,
2013-04,2.967,
2013-07,2.909,
2013-10,2.960,
2014-01,2.899,
2014-04,3.020,
2014-07,3.000,
