"",BBK01.CELK0C,BBK01.CELK0C_FLAGS
"",Other equity                                            debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:16,
1999-01,-3.1,
1999-04,6.5,
1999-07,-0.5,
1999-10,-5.5,
2000-01,-2.4,
2000-04,0.8,
2000-07,-2.0,
2000-10,2.2,
2001-01,-1.1,
2001-04,-1.3,
2001-07,-4.1,
2001-10,-3.1,
2002-01,-2.1,
2002-04,0.2,
2002-07,-6.0,
2002-10,-3.7,
2003-01,2.5,
2003-04,8.4,
2003-07,2.1,
2003-10,-4.4,
2004-01,-0.5,
2004-04,0.9,
2004-07,-1.2,
2004-10,-0.2,
2005-01,4.2,
2005-04,1.2,
2005-07,-2.3,
2005-10,-0.5,
2006-01,0.6,
2006-04,-2.7,
2006-07,-0.4,
2006-10,1.4,
2007-01,1.3,
2007-04,0.7,
2007-07,4.0,
2007-10,-0.3,
2008-01,0.7,
2008-04,1.3,
2008-07,2.2,
2008-10,8.2,
2009-01,9.6,
2009-04,15.0,
2009-07,3.9,
2009-10,6.0,
2010-01,3.0,
2010-04,3.4,
2010-07,1.4,
2010-10,0.7,
2011-01,5.8,
2011-04,-10.1,
2011-07,1.7,
2011-10,0.0,
2012-01,2.3,
2012-04,1.8,
2012-07,2.0,
2012-10,12.6,
2013-01,1.7,
2013-04,5.3,
2013-07,3.6,
2013-10,5.2,
2014-01,0.2,
2014-04,5.8,
2014-07,-0.1,
