"",BBK01.OEBL05V,BBK01.OEBL05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:31,
2002-01,0.108,
2002-04,0.113,
2002-07,0.112,
2002-10,0.110,
2003-01,0.110,
2003-04,0.110,
2003-07,0.106,
2003-10,0.092,
2004-01,0.086,
2004-04,0.086,
2004-07,0.086,
2004-10,0.054,
2005-01,0.183,
2005-04,0.179,
2005-07,0.173,
2005-10,0.161,
2006-01,0.153,
2006-04,0.154,
2006-07,0.145,
2006-10,0.166,
2007-01,0.161,
2007-04,0.158,
2007-07,0.156,
2007-10,0.151,
2008-01,0.144,
2008-04,0.138,
2008-07,0.131,
2008-10,0.154,
2009-01,0.160,
2009-04,0.176,
2009-07,0.204,
2009-10,0.215,
2010-01,0.228,
2010-04,0.230,
2010-07,0.230,
2010-10,0.229,
2011-01,0.242,
2011-04,0.211,
2011-07,0.198,
2011-10,0.196,
2012-01,0.207,
2012-04,0.196,
2012-07,0.177,
2012-10,0.178,
2013-01,0.182,
2013-04,0.184,
2013-07,0.183,
2013-10,0.187,
2014-01,0.181,
2014-04,0.184,
2014-07,0.182,
