"",BBK01.OEHL08J,BBK01.OEHL08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:15,
2002-01,2.998,
2002-04,3.002,
2002-07,3.028,
2002-10,3.159,
2003-01,3.260,
2003-04,3.315,
2003-07,3.373,
2003-10,3.510,
2004-01,3.587,
2004-04,3.650,
2004-07,4.063,
2004-10,3.861,
2005-01,3.950,
2005-04,3.973,
2005-07,3.985,
2005-10,4.093,
2006-01,4.110,
2006-04,4.051,
2006-07,3.971,
2006-10,3.863,
2007-01,3.611,
2007-04,3.425,
2007-07,3.257,
2007-10,3.187,
2008-01,3.043,
2008-04,2.891,
2008-07,2.719,
2008-10,2.737,
2009-01,2.881,
2009-04,2.869,
2009-07,2.895,
2009-10,3.045,
2010-01,3.094,
2010-04,3.082,
2010-07,3.068,
2010-10,3.095,
2011-01,3.070,
2011-04,3.044,
2011-07,3.017,
2011-10,3.047,
2012-01,3.073,
2012-04,3.098,
2012-07,3.136,
2012-10,3.242,
2013-01,3.312,
2013-04,3.324,
2013-07,3.342,
2013-10,3.388,
2014-01,3.398,
2014-04,3.360,
2014-07,3.321,
