"",BBK01.OEAD23O,BBK01.OEAD23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:48,
2002-01,0.084,
2002-04,0.056,
2002-07,0.033,
2002-10,0.038,
2003-01,0.033,
2003-04,0.032,
2003-07,0.030,
2003-10,0.034,
2004-01,0.033,
2004-04,0.032,
2004-07,0.029,
2004-10,0.031,
2005-01,0.035,
2005-04,0.037,
2005-07,0.038,
2005-10,0.037,
2006-01,0.052,
2006-04,0.052,
2006-07,0.053,
2006-10,0.050,
2007-01,0.049,
2007-04,0.043,
2007-07,0.038,
2007-10,0.020,
2008-01,0.052,
2008-04,0.057,
2008-07,0.029,
2008-10,0.035,
2009-01,0.042,
2009-04,0.051,
2009-07,0.047,
2009-10,0.047,
2010-01,0.041,
2010-04,0.042,
2010-07,0.051,
2010-10,0.049,
2011-01,0.052,
2011-04,0.049,
2011-07,0.048,
2011-10,0.057,
2012-01,0.067,
2012-04,0.075,
2012-07,0.073,
2012-10,0.074,
2013-01,0.074,
2013-04,0.083,
2013-07,0.084,
2013-10,0.090,
2014-01,0.097,
2014-04,0.094,
2014-07,0.096,
