"",BBFB1.Q.N.DE.GR.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:24,
1991-01,747.557,
1991-04,722.379,
1991-07,650.156,
1991-10,819.693,
1992-01,1005.845,
1992-04,889.393,
1992-07,809.150,
1992-10,947.347,
1993-01,792.252,
1993-04,736.842,
1993-07,693.706,
1993-10,868.802,
1994-01,804.954,
1994-04,719.414,
1994-07,629.089,
1994-10,645.493,
1995-01,691.273,
1995-04,716.028,
1995-07,655.926,
1995-10,711.733,
1996-01,671.327,
1996-04,672.894,
1996-07,698.751,
1996-10,745.255,
1997-01,767.144,
1997-04,775.073,
1997-07,755.701,
1997-10,886.598,
1998-01,809.595,
1998-04,906.596,
1998-07,835.782,
1998-10,983.855,
1999-01,899.872,
1999-04,969.275,
1999-07,1006.408,
1999-10,1259.348,
2000-01,1209.049,
2000-04,1189.053,
2000-07,1152.779,
2000-10,1247.027,
2001-01,1277.232,
2001-04,1400.424,
2001-07,1312.625,
2001-10,1247.877,
2002-01,1342.576,
2002-04,1188.865,
2002-07,1231.250,
2002-10,1309.045,
2003-01,1264.906,
2003-04,1291.601,
2003-07,1531.226,
2003-10,1553.839,
2004-01,1672.121,
2004-04,1613.289,
2004-07,1581.801,
2004-10,1548.389,
2005-01,1574.435,
2005-04,1704.664,
2005-07,1626.364,
2005-10,1746.518,
2006-01,1844.661,
2006-04,1867.071,
2006-07,1834.457,
2006-10,2015.265,
2007-01,2099.852,
2007-04,2078.398,
2007-07,1938.628,
2007-10,2105.942,
2008-01,2016.908,
2008-04,2156.012,
2008-07,2052.460,
2008-10,2038.263,
2009-01,1657.612,
2009-04,1678.812,
2009-07,1792.645,
2009-10,1768.869,
2010-01,1556.669,
2010-04,1408.783,
2010-07,1419.412,
2010-10,1788.414,
2011-01,1337.190,
2011-04,1374.799,
2011-07,1357.722,
2011-10,1202.976,
2012-01,1234.196,
2012-04,1221.266,
2012-07,1203.822,
2012-10,1175.428,
2013-01,1153.836,
2013-04,1239.312,
2013-07,1208.940,
2013-10,1156.195,
2014-01,1253.112,Provisional value
2014-04,1255.522,Provisional value
2014-07,1226.473,Provisional value
