"",BBK01.CEF20L,BBK01.CEF20L_FLAGS
"",Currency and deposits  debtor: Total           creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:43,
1999-01,56.4,
1999-04,57.0,
1999-07,58.5,
1999-10,60.3,
2000-01,61.9,
2000-04,62.5,
2000-07,62.5,
2000-10,64.3,
2001-01,65.0,
2001-04,65.8,
2001-07,66.3,
2001-10,66.7,
2002-01,67.0,
2002-04,67.2,
2002-07,67.8,
2002-10,72.8,
2003-01,74.0,
2003-04,74.0,
2003-07,74.6,
2003-10,82.6,
2004-01,84.3,
2004-04,85.7,
2004-07,87.5,
2004-10,93.9,
2005-01,96.3,
2005-04,96.7,
2005-07,97.0,
2005-10,102.1,
2006-01,102.1,
2006-04,102.9,
2006-07,104.8,
2006-10,110.4,
2007-01,109.4,
2007-04,110.5,
2007-07,113.2,
2007-10,121.3,
2008-01,122.8,
2008-04,125.7,
2008-07,128.1,
2008-10,133.1,
2009-01,134.0,
2009-04,135.3,
2009-07,138.0,
2009-10,140.9,
2010-01,136.9,
2010-04,136.8,
2010-07,135.5,
2010-10,139.2,
2011-01,136.7,
2011-04,136.9,
2011-07,137.6,
2011-10,138.3,
2012-01,131.5,
2012-04,130.1,
2012-07,127.7,
2012-10,133.3,
2013-01,128.9,
2013-04,127.3,
2013-07,124.2,
2013-10,123.2,
2014-01,122.5,
2014-04,122.2,
2014-07,120.1,
