"",BBK01.OEAA51Q,BBK01.OEAA51Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:29,
2002-01,0.760,
2002-04,0.764,
2002-07,0.714,
2002-10,0.676,
2003-01,0.625,
2003-04,0.438,
2003-07,0.928,
2003-10,0.717,
2004-01,0.572,
2004-04,0.895,
2004-07,0.463,
2004-10,0.526,
2005-01,0.878,
2005-04,2.220,
2005-07,3.756,
2005-10,1.535,
2006-01,5.957,
2006-04,5.766,
2006-07,4.352,
2006-10,1.678,
2007-01,6.524,
2007-04,3.196,
2007-07,1.156,
2007-10,4.613,
2008-01,4.708,
2008-04,2.739,
2008-07,2.637,
2008-10,4.032,
2009-01,3.647,
2009-04,3.657,
2009-07,3.579,
2009-10,3.988,
2010-01,3.896,
2010-04,4.169,
2010-07,3.548,
2010-10,3.877,
2011-01,3.631,
2011-04,3.584,
2011-07,3.473,
2011-10,3.553,
2012-01,3.250,
2012-04,3.451,
2012-07,3.369,
2012-10,1.824,
2013-01,1.956,
2013-04,1.741,
2013-07,1.708,
2013-10,1.859,
2014-01,1.633,
2014-04,1.728,
2014-07,1.912,
