"",BBK01.OEHJ06R,BBK01.OEHJ06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:48,
2002-01,0.129,
2002-04,0.127,
2002-07,0.127,
2002-10,0.132,
2003-01,0.136,
2003-04,0.135,
2003-07,0.116,
2003-10,0.101,
2004-01,0.101,
2004-04,0.104,
2004-07,0.104,
2004-10,0.103,
2005-01,0.107,
2005-04,0.123,
2005-07,0.129,
2005-10,0.141,
2006-01,0.141,
2006-04,0.137,
2006-07,0.139,
2006-10,0.169,
2007-01,0.186,
2007-04,0.187,
2007-07,0.174,
2007-10,0.165,
2008-01,0.156,
2008-04,0.157,
2008-07,0.157,
2008-10,0.156,
2009-01,0.155,
2009-04,0.153,
2009-07,0.144,
2009-10,0.135,
2010-01,0.135,
2010-04,0.126,
2010-07,0.123,
2010-10,0.124,
2011-01,0.120,
2011-04,0.119,
2011-07,0.134,
2011-10,0.126,
2012-01,0.127,
2012-04,0.123,
2012-07,0.125,
2012-10,0.119,
2013-01,0.117,
2013-04,0.126,
2013-07,0.126,
2013-10,0.113,
2014-01,0.107,
2014-04,0.102,
2014-07,0.103,
