"",BBK01.OEXL01V,BBK01.OEXL01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:52,
2002-01,2.910,
2002-04,2.823,
2002-07,2.810,
2002-10,2.910,
2003-01,2.850,
2003-04,2.615,
2003-07,2.608,
2003-10,2.671,
2004-01,2.680,
2004-04,2.032,
2004-07,1.999,
2004-10,1.852,
2005-01,1.935,
2005-04,1.933,
2005-07,1.803,
2005-10,1.887,
2006-01,1.972,
2006-04,1.973,
2006-07,1.957,
2006-10,2.300,
2007-01,2.523,
2007-04,2.644,
2007-07,2.753,
2007-10,3.004,
2008-01,3.104,
2008-04,3.206,
2008-07,3.264,
2008-10,3.716,
2009-01,3.690,
2009-04,3.618,
2009-07,3.580,
2009-10,3.536,
2010-01,3.453,
2010-04,3.502,
2010-07,3.500,
2010-10,3.700,
2011-01,3.856,
2011-04,3.960,
2011-07,4.034,
2011-10,4.063,
2012-01,4.004,
2012-04,3.922,
2012-07,3.641,
2012-10,3.582,
2013-01,3.485,
2013-04,3.415,
2013-07,3.399,
2013-10,3.434,
2014-01,3.420,
2014-04,3.445,
2014-07,3.537,
