"",BBK01.OXA8T5,BBK01.OXA8T5_FLAGS
"",Net total of consumer credit sold to/bought from domestic households and non-profit institutions during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:50,
2009-12,-,Nothing exists
2010-01,0.107,
2010-02,-,Nothing exists
2010-03,0.078,
2010-04,-,Nothing exists
2010-05,0.087,
2010-06,-0.030,
2010-07,0.637,
2010-08,-0.031,
2010-09,-0.038,
2010-10,-0.040,
2010-11,-0.014,
2010-12,-0.152,
2011-01,-0.099,
2011-02,0.624,
2011-03,-0.156,
2011-04,-0.117,
2011-05,0.009,
2011-06,1.199,
2011-07,0.653,
2011-08,0.028,
2011-09,-0.462,
2011-10,0.026,
2011-11,0.018,
2011-12,0.452,
2012-01,-0.003,
2012-02,0.043,
2012-03,0.025,
2012-04,0.018,
2012-05,-0.072,
2012-06,-0.082,
2012-07,-0.015,
2012-08,0.025,
2012-09,0.024,
2012-10,0.026,
2012-11,-0.245,
2012-12,0.031,
2013-01,0.011,
2013-02,0.472,
2013-03,-0.001,
2013-04,-0.001,
2013-05,-0.137,
2013-06,-0.001,
2013-07,0.632,
2013-08,-0.295,
2013-09,-0.034,
2013-10,-0.003,
2013-11,-0.004,
2013-12,0.005,
2014-01,-0.005,
2014-02,0.003,
2014-03,0.014,
2014-04,0.003,
2014-05,1.183,
2014-06,-0.056,
2014-07,-0.008,
2014-08,0.003,
2014-09,-0.005,
2014-10,-0.058,
2014-11,0.695,
2014-12,0.021,Provisional value
