"",BBK01.OEAD04K,BBK01.OEAD04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:32,
2002-01,0.286,
2002-04,0.271,
2002-07,0.268,
2002-10,0.258,
2003-01,0.251,
2003-04,0.233,
2003-07,0.217,
2003-10,0.195,
2004-01,0.239,
2004-04,0.219,
2004-07,0.205,
2004-10,0.181,
2005-01,0.178,
2005-04,0.179,
2005-07,0.179,
2005-10,0.173,
2006-01,0.181,
2006-04,0.168,
2006-07,0.204,
2006-10,0.180,
2007-01,0.146,
2007-04,0.153,
2007-07,0.144,
2007-10,0.139,
2008-01,0.210,
2008-04,0.202,
2008-07,0.212,
2008-10,0.183,
2009-01,0.210,
2009-04,0.223,
2009-07,0.219,
2009-10,0.216,
2010-01,0.231,
2010-04,0.244,
2010-07,0.237,
2010-10,0.226,
2011-01,0.208,
2011-04,0.215,
2011-07,0.205,
2011-10,0.185,
2012-01,0.194,
2012-04,0.198,
2012-07,0.199,
2012-10,0.102,
2013-01,0.118,
2013-04,0.127,
2013-07,0.113,
2013-10,0.092,
2014-01,0.097,
2014-04,0.095,
2014-07,0.091,
