"",BBK01.CEF20I,BBK01.CEF20I_FLAGS
"",Currency and deposits debtor: Total   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:38,
1999-01,1259.1,
1999-04,1262.1,
1999-07,1254.4,
1999-10,1265.8,
2000-01,1256.7,
2000-04,1237.8,
2000-07,1229.5,
2000-10,1234.9,
2001-01,1246.0,
2001-04,1256.6,
2001-07,1262.0,
2001-10,1266.8,
2002-01,1272.7,
2002-04,1286.0,
2002-07,1295.0,
2002-10,1326.1,
2003-01,1349.1,
2003-04,1359.1,
2003-07,1367.0,
2003-10,1377.5,
2004-01,1393.7,
2004-04,1403.6,
2004-07,1409.9,
2004-10,1432.2,
2005-01,1441.9,
2005-04,1451.7,
2005-07,1452.3,
2005-10,1469.2,
2006-01,1478.2,
2006-04,1487.1,
2006-07,1483.5,
2006-10,1498.7,
2007-01,1507.1,
2007-04,1522.6,
2007-07,1532.7,
2007-10,1564.7,
2008-01,1567.8,
2008-04,1577.7,
2008-07,1580.5,
2008-10,1657.7,
2009-01,1666.2,
2009-04,1679.2,
2009-07,1681.7,
2009-10,1702.7,
2010-01,1717.3,
2010-04,1734.8,
2010-07,1737.3,
2010-10,1769.4,
2011-01,1776.2,
2011-04,1791.0,
2011-07,1802.1,
2011-10,1828.1,
2012-01,1847.5,
2012-04,1868.5,
2012-07,1884.8,
2012-10,1905.7,
2013-01,1916.7,
2013-04,1934.8,
2013-07,1944.5,
2013-10,1971.6,
2014-01,1986.5,
2014-04,2007.7,
2014-07,2025.3,
