"",BBK01.OEAN03K,BBK01.OEAN03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:56,
2002-01,3.579,
2002-04,3.375,
2002-07,2.987,
2002-10,3.078,
2003-01,3.096,
2003-04,3.083,
2003-07,3.005,
2003-10,2.860,
2004-01,2.772,
2004-04,2.835,
2004-07,2.778,
2004-10,2.795,
2005-01,2.475,
2005-04,2.253,
2005-07,2.369,
2005-10,2.243,
2006-01,2.172,
2006-04,2.103,
2006-07,2.009,
2006-10,1.963,
2007-01,1.954,
2007-04,1.729,
2007-07,1.644,
2007-10,2.032,
2008-01,1.869,
2008-04,1.815,
2008-07,1.768,
2008-10,1.742,
2009-01,1.901,
2009-04,1.975,
2009-07,2.079,
2009-10,2.169,
2010-01,2.253,
2010-04,2.173,
2010-07,2.201,
2010-10,2.276,
2011-01,2.309,
2011-04,2.325,
2011-07,2.285,
2011-10,2.207,
2012-01,2.252,
2012-04,2.281,
2012-07,2.372,
2012-10,2.429,
2013-01,2.648,
2013-04,2.690,
2013-07,2.777,
2013-10,2.930,
2014-01,3.222,
2014-04,3.422,
2014-07,3.542,
