"",BBK01.OEHB03G,BBK01.OEHB03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:03,
2002-01,5.355,
2002-04,5.306,
2002-07,5.319,
2002-10,5.373,
2003-01,5.059,
2003-04,4.907,
2003-07,4.936,
2003-10,4.946,
2004-01,4.808,
2004-04,4.840,
2004-07,4.768,
2004-10,4.813,
2005-01,4.807,
2005-04,5.085,
2005-07,5.117,
2005-10,5.226,
2006-01,5.240,
2006-04,5.244,
2006-07,5.236,
2006-10,5.305,
2007-01,5.269,
2007-04,5.339,
2007-07,5.400,
2007-10,5.541,
2008-01,5.732,
2008-04,5.961,
2008-07,6.146,
2008-10,6.154,
2009-01,5.962,
2009-04,6.309,
2009-07,6.630,
2009-10,6.825,
2010-01,6.669,
2010-04,6.750,
2010-07,6.941,
2010-10,7.112,
2011-01,6.903,
2011-04,6.877,
2011-07,6.876,
2011-10,6.915,
2012-01,6.897,
2012-04,6.947,
2012-07,7.046,
2012-10,7.022,
2013-01,7.012,
2013-04,6.968,
2013-07,7.013,
2013-10,6.904,
2014-01,6.737,
2014-04,6.650,
2014-07,6.561,
