"",BBK01.OEAC01I,BBK01.OEAC01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:28,
2002-01,70.744,
2002-04,68.857,
2002-07,66.451,
2002-10,64.801,
2003-01,62.375,
2003-04,62.399,
2003-07,61.565,
2003-10,58.857,
2004-01,57.876,
2004-04,57.714,
2004-07,56.562,
2004-10,55.947,
2005-01,56.658,
2005-04,56.626,
2005-07,56.481,
2005-10,54.272,
2006-01,55.772,
2006-04,55.451,
2006-07,56.944,
2006-10,56.172,
2007-01,54.969,
2007-04,54.646,
2007-07,54.384,
2007-10,56.768,
2008-01,59.021,
2008-04,60.503,
2008-07,62.554,
2008-10,60.652,
2009-01,61.313,
2009-04,63.167,
2009-07,67.449,
2009-10,68.648,
2010-01,69.053,
2010-04,68.647,
2010-07,67.481,
2010-10,69.716,
2011-01,70.902,
2011-04,72.869,
2011-07,75.712,
2011-10,73.062,
2012-01,77.761,
2012-04,80.672,
2012-07,78.756,
2012-10,75.829,
2013-01,76.743,
2013-04,80.635,
2013-07,72.930,
2013-10,74.267,
2014-01,74.588,
2014-04,74.708,
2014-07,73.828,
