"",BBK01.OXA8O2,BBK01.OXA8O2_FLAGS
"","Stocks of loans to domestic non-financial corporations (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:25,
2009-12,15.236,
2010-01,16.617,
2010-02,-,Nothing exists
2010-03,15.127,
2010-04,-,Nothing exists
2010-05,14.537,
2010-06,13.501,
2010-07,13.910,
2010-08,13.577,
2010-09,12.714,
2010-10,13.827,
2010-11,14.047,
2010-12,13.158,
2011-01,13.010,
2011-02,12.444,
2011-03,11.707,
2011-04,11.390,
2011-05,10.962,
2011-06,10.335,
2011-07,11.046,
2011-08,12.746,
2011-09,12.130,
2011-10,12.881,
2011-11,13.373,
2011-12,12.720,
2012-01,13.545,
2012-02,13.379,
2012-03,12.407,
2012-04,13.277,
2012-05,12.934,
2012-06,12.279,
2012-07,11.509,
2012-08,11.347,
2012-09,11.116,
2012-10,9.383,
2012-11,9.393,
2012-12,9.252,
2013-01,9.372,
2013-02,10.129,
2013-03,9.936,
2013-04,9.698,
2013-05,10.198,
2013-06,10.325,
2013-07,10.141,
2013-08,9.830,
2013-09,9.741,
2013-10,10.008,
2013-11,10.768,
2013-12,10.585,
2014-01,10.595,
2014-02,9.903,
2014-03,9.738,
2014-04,9.276,
2014-05,9.158,
2014-06,9.062,
2014-07,8.892,
2014-08,8.748,
2014-09,7.669,
2014-10,9.013,
2014-11,8.987,
2014-12,9.800,Provisional value
