"",BBK01.OEHM02K,BBK01.OEHM02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:30,
2002-01,0.113,
2002-04,0.189,
2002-07,0.131,
2002-10,0.126,
2003-01,0.282,
2003-04,0.195,
2003-07,0.132,
2003-10,0.055,
2004-01,0.137,
2004-04,0.179,
2004-07,0.246,
2004-10,0.038,
2005-01,0.036,
2005-04,0.132,
2005-07,0.072,
2005-10,0.099,
2006-01,0.367,
2006-04,0.324,
2006-07,0.181,
2006-10,0.181,
2007-01,0.194,
2007-04,0.112,
2007-07,0.208,
2007-10,0.640,
2008-01,0.208,
2008-04,0.687,
2008-07,0.169,
2008-10,0.234,
2009-01,0.090,
2009-04,0.147,
2009-07,0.206,
2009-10,0.153,
2010-01,0.109,
2010-04,0.091,
2010-07,0.148,
2010-10,0.181,
2011-01,0.239,
2011-04,0.129,
2011-07,0.130,
2011-10,0.144,
2012-01,0.154,
2012-04,0.161,
2012-07,0.286,
2012-10,0.210,
2013-01,0.222,
2013-04,0.222,
2013-07,0.179,
2013-10,0.171,
2014-01,0.117,
2014-04,0.223,
2014-07,0.271,
