"",BBK01.TQ7015E,BBK01.TQ7015E_FLAGS
"","Deposit takers - Geographical distribution of loans to total loans - Other emerging market and developing countries, incl. China                            FSI-I015",
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:28,
2005-10,3.21,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,3.21,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,3.75,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,3.77,
2009-01,3.66,
2009-04,3.60,
2009-07,3.38,
2009-10,3.63,
2010-01,3.55,
2010-04,3.37,
2010-07,3.31,
2010-10,3.41,
2011-01,2.61,
2011-04,2.63,
2011-07,2.80,
2011-10,2.80,
2012-01,2.70,
2012-04,2.70,
2012-07,2.80,
2012-10,3.20,
2013-01,3.20,
2013-04,3.20,
2013-07,3.10,
2013-10,3.10,
2014-01,3.20,
2014-04,3.60,
2014-07,3.90,
