"",BBK01.OEYB06N,BBK01.OEYB06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:28,
2002-01,9.062,
2002-04,7.909,
2002-07,7.904,
2002-10,8.411,
2003-01,10.165,
2003-04,8.973,
2003-07,8.045,
2003-10,8.041,
2004-01,11.475,
2004-04,8.654,
2004-07,7.363,
2004-10,9.553,
2005-01,12.127,
2005-04,8.738,
2005-07,8.719,
2005-10,9.615,
2006-01,10.740,
2006-04,9.146,
2006-07,9.725,
2006-10,8.965,
2007-01,11.197,
2007-04,9.731,
2007-07,9.691,
2007-10,7.992,
2008-01,8.966,
2008-04,9.776,
2008-07,9.662,
2008-10,9.257,
2009-01,7.880,
2009-04,11.565,
2009-07,10.140,
2009-10,9.733,
2010-01,10.485,
2010-04,26.134,
2010-07,18.343,
2010-10,19.326,
2011-01,16.033,
2011-04,15.423,
2011-07,20.102,
2011-10,17.834,
2012-01,20.608,
2012-04,21.362,
2012-07,16.772,
2012-10,5.612,
2013-01,7.988,
2013-04,7.048,
2013-07,5.046,
2013-10,4.783,
2014-01,4.875,
2014-04,4.664,
2014-07,5.283,
