"",BBK01.OEAB16T,BBK01.OEAB16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:44,
2002-01,3.416,
2002-04,3.424,
2002-07,3.421,
2002-10,3.431,
2003-01,3.380,
2003-04,3.379,
2003-07,3.353,
2003-10,3.336,
2004-01,3.339,
2004-04,3.335,
2004-07,3.310,
2004-10,3.317,
2005-01,3.259,
2005-04,3.239,
2005-07,3.219,
2005-10,3.196,
2006-01,3.145,
2006-04,3.139,
2006-07,3.127,
2006-10,3.123,
2007-01,3.085,
2007-04,3.079,
2007-07,3.070,
2007-10,3.087,
2008-01,3.037,
2008-04,3.028,
2008-07,3.014,
2008-10,3.011,
2009-01,3.029,
2009-04,3.146,
2009-07,3.139,
2009-10,3.158,
2010-01,3.155,
2010-04,3.164,
2010-07,3.253,
2010-10,3.195,
2011-01,3.172,
2011-04,3.184,
2011-07,3.190,
2011-10,3.223,
2012-01,3.196,
2012-04,3.395,
2012-07,3.421,
2012-10,3.449,
2013-01,3.441,
2013-04,3.430,
2013-07,3.447,
2013-10,3.436,
2014-01,3.450,
2014-04,3.442,
2014-07,3.475,
